id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,reviews_per_month,last_review
19091,Fully Furnished Cozy Apartment,Leonidas,29.961,-90.1195,Entire home/apt,137,1,306,542,2.75,2026-05-30
71624,Ravenwood Manor (Historic Bywater),Bywater,29.96153,-90.04364,Entire home/apt,166,30,365,316,1.69,2025-05-07
74498,Maison Marais 1,St. Roch,29.96986,-90.05172,Entire home/apt,175,3,231,689,3.71,2026-05-19
79536,FeelAtHomeInNewOrleans-PrivateApt,Seventh Ward,29.97803,-90.0745,Entire home/apt,,3,0,853,4.63,2026-06-12
79609,Bywater's Original & Finest,St. Claude,29.96448,-90.03667,Entire home/apt,63,30,198,505,2.72,2025-03-05
80869,"Frenchmen House ""Red Room""",Marigny,29.96811,-90.05905,Private room,97,1,178,1047,5.64,2026-06-01
84725,Historic UPTOWN NEW ORLEANS Resort,Central City,29.93608,-90.07997,Private room,349,30,365,5,0.03,2016-01-01
90806,Mid-city.  The heart of New Orleans,Mid-City,29.97264,-90.09992,Entire home/apt,80,30,335,145,0.81,2026-01-07
183207,"Frenchmen House ""Rose Room""",Marigny,29.96811,-90.05905,Private room,97,1,165,969,5.41,2026-05-29
204998,Hilaire Suite - 2 Bed 2.5 Bath near French Quarter,Treme - Lafitte,29.9678,-90.06675,Entire home/apt,107,30,179,207,1.16,2022-09-05
205008,Muse Suite- Near French Quarter,Treme - Lafitte,29.96719,-90.07033,Entire home/apt,160,30,179,290,1.62,2022-11-01
228560,Boheme de Marigny - Historic Creole Cottage,Marigny,29.96524,-90.05901,Entire home/apt,389,2,86,136,1.02,2026-02-16
240258,Maison Marais 2,St. Roch,29.96929,-90.05172,Entire home/apt,179,3,283,643,3.61,2026-06-01
259868,AUTHENTIC NEW ORLEANS HOME!!!!!!!,Treme - Lafitte,29.97307,-90.07671,Entire home/apt,218,30,359,148,0.84,2025-05-05
314233,Historic pied-à-terre on Esplanade,Marigny,29.96611,-90.06146,Entire home/apt,149,30,365,80,0.46,2020-03-18
317793,"Algiers Point, New Orleans LA - Funky NOLA Digs",Whitney,29.94995,-90.04538,Entire home/apt,93,30,365,13,0.08,2023-03-13
373034,Little Gem,Marigny,29.96739,-90.05899,Entire home/apt,,30,0,428,2.46,2024-10-30
405209,Historic Tremé Creole Cottage w/pool,Treme - Lafitte,29.965829849243164,-90.06376647949219,Entire home/apt,,1,327,227,1.65,2026-06-11
406652,Near bustling Magazine St w/BIKES!,St. Thomas Dev,29.92302,-90.07285,Entire home/apt,142,30,269,182,1.06,2024-10-26
425878,Bayou St. John Cottage!,Bayou St. John,29.975841522216797,-90.0870361328125,Entire home/apt,73,30,364,53,0.35,2025-05-05
427928,New Orleans Festival House! Jazz Fest 3 Blocks!,Fairgrounds,29.98149,-90.07425,Entire home/apt,741,30,269,148,0.91,2026-02-21
441125,Uptown home w/room to spread out!,Audubon,29.93357,-90.11427,Entire home/apt,598,30,299,34,0.20,2020-03-16
458029,Oak Street Hangout...,Leonidas,29.94844,-90.13186,Entire home/apt,52,30,138,95,0.57,2025-06-27
542247,"10 min to Bourbon St, 5 min to the SuperDome.",Broadmoor,29.946689853433014,-90.10075887298348,Entire home/apt,242,2,187,176,1.05,2026-05-31
561833,Half Okra Inn Iberville- Historic Mid City Retreat,Mid-City,29.974992752075195,-90.09910583496094,Entire home/apt,186,1,140,176,1.07,2026-05-29
596455,"Beautiful, Bywater Home- monthly only",Bywater,29.96491,-90.04403,Entire home/apt,60,30,267,48,0.29,2024-09-02
648129,Beautiful Efficiency Apartment,City Park,29.98282,-90.09417,Entire home/apt,100,30,146,117,0.70,2020-02-24
684584,Ride the Streetcar to the French Quarter!,Mid-City,29.96658,-90.09607,Private room,107,1,174,1346,8.03,2026-06-02
701364,Sky Loft Bywater-Marigny - K Bed Balcony Driveway,St. Roch,29.97036,-90.05007,Entire home/apt,123,3,194,326,1.97,2026-06-07
708852,studio unit 3 New Orleans,Lower Garden District,29.93396,-90.08066,Entire home/apt,272,30,89,0,,
718256,Rumahku De New Orleans,Fillmore,30.00784,-90.08124,Entire home/apt,143,2,238,421,2.60,2026-05-17
742617,Life is a Cabaret : historic apt w/large deck,Marigny,29.96768,-90.05683,Entire home/apt,276,3,324,351,2.16,2026-06-15
755827,Stay by the river in the safe & historic Bywater,Bywater,29.96056,-90.03423,Entire home/apt,158,3,79,684,4.12,2026-05-25
760661,"Comfortable, Affordable, Pool table & Location",Broadmoor,29.94811,-90.09961,Entire home/apt,,30,0,180,1.11,2024-11-11
780112,Large Apt Bayou St John/City Park 3 miles to Dome,Bayou St. John,29.97728,-90.08278,Entire home/apt,230,30,269,97,0.60,2022-04-22
786938,Historic home near FQ/outdoor oasis,Seventh Ward,29.97478,-90.07634,Entire home/apt,483,3,337,185,1.14,2026-04-19
790082,GUEST WING BY THE RIVER ~2 Q Bedrooms,Holy Cross,29.95852,-90.02569,Entire home/apt,,30,0,99,0.61,2021-12-20
812536,"Downtown Views, Garden District, Streetcar",Central City,29.93616,-90.08231,Entire home/apt,185,3,29,70,0.43,2026-05-18
812675,Luxe Garden District Balcony Views,Central City,29.935006370033513,-90.08173553236517,Entire home/apt,220,3,29,85,0.52,2026-02-23
829933,"King rm @ Huckabuck Village, Treme",Treme - Lafitte,29.96949,-90.07396,Private room,48,30,179,157,0.96,2026-04-30
845309,Fab Frenchmen Maison on the Park,Marigny,29.96609,-90.05718,Entire home/apt,531,30,365,169,1.04,2021-05-03
851999,Fab Apt with Perfect Park Porch,Leonidas,29.95565,-90.12383,Entire home/apt,64,31,211,115,0.71,2026-01-05
854997,Historic Marigny Triangle Apartment,Marigny,29.96731,-90.05927,Entire home/apt,64,30,179,147,0.90,2026-05-07
872905,"City Park, Mid City, Safe area near Streetcar Stop",City Park,29.98148,-90.09697,Entire home/apt,75,30,305,57,0.35,2024-09-07
873413,Mansion in the Garden District,Central City,29.935006370033513,-90.08173553236517,Entire home/apt,830,3,29,81,0.50,2026-05-04
882473,Historic Apt in Magical Marigny,Marigny,29.96712,-90.05075,Entire home/apt,99,30,240,210,1.29,2025-03-09
885010,private getaway near french quarter,St. Claude,29.97043,-90.0476,Entire home/apt,,30,0,114,0.70,2017-07-02
885246,HUGE Historic Warehouse District Condo,Central Business District,29.94499,-90.07222,Entire home/apt,184,30,353,9,0.06,2022-12-31
890508,Magazine St. Charm - Safe Area,Uptown,29.9205,-90.10807,Entire home/apt,253,30,365,28,0.18,2019-05-27
895626,"Walk to Tulane, The Purple Room of the Treehouse",Audubon,29.93823,-90.11176,Private room,119,1,158,376,2.31,2026-06-07
896343,#1 Beautiful 2-BR Suite Uptown/Audubon Riverside,West Riverside,29.92048,-90.12346,Entire home/apt,265,3,173,43,0.28,2024-04-08
896501,#2 Perfect 2BR Audubon Suite,Audubon,29.92345,-90.12261,Entire home/apt,159,7,191,36,0.23,2026-04-16
896709,Modern Home Near French Quarter,Treme - Lafitte,29.97258,-90.07539,Entire home/apt,310,30,365,50,0.31,2020-02-23
898632,TulaneUniv/Pool3-4ppl w approvalStrictlyNO parties,Audubon,29.94574,-90.11839,Entire home/apt,400,1,249,112,0.69,2026-04-27
900337,2 Bedroom Suite in Uptown New Orleans,Uptown,29.92074,-90.1069,Entire home/apt,329,2,225,27,0.17,2025-03-16
901827,Traditional Lower Garden District 2 bdrm apt,Central City,29.93668,-90.07614,Entire home/apt,193,2,105,391,2.40,2026-05-12
904990,"Gem Condo, Soul of Arts District",Lower Garden District,29.94449,-90.06751,Entire home/apt,105,30,365,7,0.05,2022-09-04
905897,"KING BED Private Apt, 30% off 4+ Nights, No Chores",Treme - Lafitte,29.9663148,-90.0695387,Entire home/apt,163,2,216,473,2.92,2026-06-15
906101,Loft Bywtr-Marigny GR8T Location,St. Claude,29.96979,-90.04808,Entire home/apt,44,30,179,292,1.80,2026-03-31
908231,Spacious Broadmoor Townhome- Central to Everything,Broadmoor,29.95201,-90.10369,Entire home/apt,286,2,340,71,0.56,2026-04-28
910912,Bayou St John Historic Home,Bayou St. John,29.97885,-90.08411,Entire home/apt,414,2,347,138,0.97,2026-03-22
914407,Parks-Bowman Mansion: The Red Room,Garden District,29.92956,-90.08393,Private room,142,1,315,721,4.46,2026-06-01
914581,Parks-Bowman Mansion: The Haunted Bedroom,Garden District,29.92928,-90.08214,Private room,142,1,318,644,3.98,2026-06-09
914617,Parks-Bowman Mansion: The Library,Garden District,29.9294,-90.08436,Private room,206,1,246,927,5.70,2026-05-24
917965,Garden District with gated parking fast wifi,Lower Garden District,29.93409,-90.07562,Entire home/apt,371,1,159,301,1.85,2026-06-10
918511,Convenient Mid City Apartment,City Park,29.98117,-90.09053,Entire home/apt,150,30,365,212,1.30,2020-03-16
921154,FrenchQuartr|Marginy|Pool|Courtyd(30day+StaysOnly),Marigny,29.966976,-90.050941,Entire home/apt,103,30,224,249,2.10,2026-03-03
925086,French Condo in the Warehouse District,Central Business District,29.94697,-90.07035,Entire home/apt,226,30,365,66,0.53,2019-05-07
931412,Mimsie and the Alligata Carriage House & Courtyard,East Riverside,29.91909,-90.08563,Entire home/apt,166,2,87,193,1.37,2026-05-17
936112,"9a Fleur De Lis Mansion Spa/Pool, B&B # 317134",Lower Garden District,29.9386,-90.06863,Entire home/apt,1022,30,365,59,0.37,2025-05-05
938165,Lepage 4 - 1BR/2BA Apartment Near Fairgrounds,Fairgrounds,29.97877,-90.08123,Entire home/apt,,30,16,179,1.12,2026-04-21
938262,"Elegant Uptown New Orleans, near Universities",Audubon,29.93421,-90.11811,Private room,,30,0,6,0.06,2018-07-22
947400,Cozy One Bedroom NOLA Apartment,Lower Garden District,29.93185,-90.07035,Entire home/apt,212,1,235,773,4.78,2026-06-03
956635,"New Orleans Rental, Esplanade Ridge",Fairgrounds,29.98323,-90.0866,Entire home/apt,68,30,330,115,0.76,2025-01-31
967567,Treme Creole Cottage,Treme - Lafitte,29.96625,-90.06758,Entire home/apt,224,30,89,377,2.34,2023-04-30
969714,The New Orleans Sweeeet Retreat,Holy Cross,29.95668,-90.00772,Entire home/apt,370,3,89,1,0.01,2020-02-26
984831,"Sweet White Penthouse ,MagazineSt HOT TUB",Lower Garden District,29.93244,-90.07389,Entire home/apt,8137,30,364,99,0.62,2023-02-20
995213,Legal Rental : Elegant Lower Garden District Home,Lower Garden District,29.93839,-90.07349,Entire home/apt,560,30,269,128,0.80,2023-05-29
997365,Big Easy Condo(close to the action),Treme - Lafitte,29.96288,-90.06642,Entire home/apt,193,1,264,389,2.42,2026-05-30
1018723,Vibrant TREMÈ Jazz Shotgun/5 min FQ/Streetcar Walk,Treme - Lafitte,29.96439,-90.06782,Entire home/apt,,30,0,200,1.25,2020-03-09
1022169,Festive Creole Cottage-Spring Festivals,Fairgrounds,29.98171,-90.08254,Private room,127,2,28,136,0.85,2026-04-20
1048233,Musical & cultural extravaganza!,Marigny,29.96407,-90.05789,Entire home/apt,229,2,55,282,1.77,2026-06-01
1056897,$95 per Night in January 2018! - New Year Special!,Lower Garden District,29.93417,-90.07281,Private room,121,30,365,205,1.33,2020-03-08
1073455,Native New Orleans. Bywater near Crescent park.,Bywater,29.96095,-90.04452,Entire home/apt,76,30,318,79,0.49,2024-05-04
1082298,Cozy Clean Safe 3Bdr/2Bth 2nd Floor,Lake Terrace & Oaks,30.02421,-90.06728,Entire home/apt,103,30,199,61,0.46,2023-10-22
1092214,$95 a Night in January 2018! - New Year’s Special!,Lower Garden District,29.9361,-90.07196,Private room,138,30,364,152,0.95,2020-02-26
1103936,~Mid City Oasis~,City Park,29.98048,-90.09927,Entire home/apt,98,30,336,121,0.98,2025-04-29
1174901,Home Sweet Home By The River,Holy Cross,29.958145141601562,-90.0256576538086,Entire home/apt,,30,0,6,0.04,2019-01-01
1186700,Home Steps to Frenchmen St with Big Yard,Marigny,29.967038646646724,-90.0612080520279,Entire home/apt,554,2,311,245,1.80,2026-05-19
1283353,Beautiful Bywater Shotgun w/ Bikes!,St. Claude,29.96774,-90.03713,Entire home/apt,119,2,99,633,4.02,2026-05-30
1313719,Oak-lines Ursulines Ave raised style funky house,Bayou St. John,29.97645,-90.08279,Entire home/apt,268,1,151,121,2.69,2026-05-26
1316954,"New Orleans 1br Suite, Avenue Plaza",Central City,29.93423,-90.08124,Entire home/apt,282,30,358,14,0.09,2017-03-14
1331004,Ursulines Colorful Historic Home near French Qtr,Treme - Lafitte,29.96586,-90.06397,Entire home/apt,275,1,320,197,1.31,2026-06-11
1352100,Lemon Tree Manor in Bywater,Bywater,29.96197,-90.04433,Entire home/apt,243,30,365,300,1.94,2025-05-04
