id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,reviews_per_month,last_review
37676,Mt. Hood View in the Pearl District,Pearl,45.52564,-122.68273,Entire home/apt,117,30,342,135,0.70,2026-05-31
61893,Perfect Portland Place,Goose Hollow,45.52258,-122.69955,Entire home/apt,93,30,149,26,0.22,2026-02-23
67036,Historic Home Located in Central City,Sullivan's Gulch,45.53103,-122.64448,Entire home/apt,557,4,336,90,0.48,2026-04-19
93613,Sunny Queen Room in FUN Alberta Arts,Sabin,45.55536,-122.65106,Private room,43,30,313,72,0.40,2026-05-31
99355,Beautiful Apt near City Center!,Irvington,45.53836,-122.65159,Entire home/apt,377,1,305,353,2.02,2026-05-28
114086,Sunny Peaceful Home in Walkable Arts District,Sabin,45.55593,-122.65029,Private room,40,30,127,74,0.41,2026-05-14
117969,Beautiful Remodeled Apartment,Richmond,45.51022,-122.63088,Entire home/apt,141,2,214,396,2.94,2026-05-31
134282,Daylight Foodie's Paradise & Everyone's Fun Zone,Boise,45.55273,-122.67524,Entire home/apt,80,31,161,35,0.20,2023-06-15
143483,Garden Hideaway near City Center!,Irvington,45.54005222601903,-122.64988089596142,Entire home/apt,202,1,300,197,1.11,2026-04-19
145199,Two private bedrooms with bath and kitchenette,Montavilla,45.52959,-122.59081,Private room,166,3,365,92,0.51,2026-04-27
182450,"Luminous, Cosy Home near lively SE Division Street",Richmond,45.50529,-122.63201,Entire home/apt,,5,5,38,0.23,2025-10-21
182465,Quiet room next to lively Division St,Richmond,45.50582,-122.63389,Private room,84,2,35,377,2.08,2026-05-04
195632,Foodie's Paradise & Everyone's Playground!,Boise,45.55083,-122.67567,Entire home/apt,26,85,177,89,0.49,2024-04-14
218708,Vintage Charm *King* at Opal 28 Apt 3,Kerns,45.5236,-122.63458,Entire home/apt,77,30,103,276,1.54,2025-10-06
222298,"Blues, Brews & Bicycle Guesthouse",Overlook,45.55815,-122.69218,Private room,75,2,52,125,0.70,2026-04-19
231732,"large, sunny room in farmhouse",Overlook,45.55629,-122.69042,Private room,34,30,55,48,0.28,2022-02-07
231734,"Private, sunny room in farmhouse",Overlook,45.55748,-122.69207,Private room,75,2,54,83,0.47,2026-06-13
236108,Large COMFY Room in Alberta Arts,Sabin,45.55645,-122.64854,Private room,48,30,288,59,0.34,2022-10-15
264248,Victorian Retreat near Hawthorne,Buckman,45.51268,-122.6493,Entire home/apt,133,30,208,19,0.11,2025-12-01
269339,Sweet Apartment in Alberta St. Area,King,45.55033,-122.65798,Entire home/apt,,2,0,375,2.12,2022-12-11
317797,Condo in the Courtyard,Mt. Tabor,45.510918377814114,-122.61128317425442,Entire home/apt,83,30,133,48,0.28,2026-04-13
332420,"Vintage Artist's Home, walk/bike everywhere!",Sunnyside,45.518,-122.6322,Entire home/apt,,3,0,67,0.41,2026-06-14
345650,GUEST SUITE SURROUNDED BY NATURE,Hayhurst,45.48203,-122.71903,Entire home/apt,403,2,267,139,0.82,2022-12-12
357732,"Cheerful, musical, eclectic home",Multnomah,45.46518,-122.71617,Private room,36,30,287,38,0.22,2026-03-03
362775,Kuza Cabin + Fine-Dining Village,Alameda,45.54903,-122.63423,Entire home/apt,240,1,347,571,3.30,2026-06-01
383701,Sellwood Music Suite,Sellwood-Moreland Improvement League,45.46846,-122.65395,Entire home/apt,155,2,193,459,2.66,2026-06-14
386687,The Heart of Multnomah Village,Multnomah,45.4692,-122.71497,Entire home/apt,152,30,365,236,1.38,2024-12-26
402130,Vintage Charm *Queen* at Opal 28 Apt 1,Kerns,45.52949,-122.63449,Entire home/apt,77,30,43,235,1.37,2024-09-03
402191,Vintage Charm *King* at Opal 28 Apt4,Kerns,45.52671,-122.63666,Entire home/apt,77,30,41,325,1.89,2024-10-05
