id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,reviews_per_month,last_review
3686,Vita's Hideaway,Historic Anacostia,38.86339,-76.98889,Private room,47,31,355,83,0.44,2023-08-30
3943,Historic Rowhouse Near Monuments,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,167,1,308,580,2.78,2026-05-10
5589,Cozy apt in Adams Morgan,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire home/apt,83,31,301,93,0.47,2023-08-17
6165,Private Bath & Laundry - Huge Lower Level Suite NW,"Brightwood Park, Crestwood, Petworth",38.95331,-77.03624,Private room,79,31,359,24,0.12,2024-12-14
7103,Lovely guest suite in a quiet but close-in neighborhood,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire home/apt,90,31,253,90,0.45,2022-06-03
11785,Sanctuary near Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,101,31,313,412,2.06,2025-05-31
12442,Peaches & Cream near Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,Private room,58,31,304,122,0.62,2025-12-31
13744,"Heart of the City -HalfBlock to METRO, Restaurants","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,137,2,210,40,0.20,2026-05-14
14218,Quiet Comfort near Nat'l Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room,59,31,249,106,0.57,2025-02-28
17131,The Loft near National Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room,59,31,313,112,0.57,2026-04-14
27682,Private 1-bed apartment-Walk to METRO,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home/apt,22,90,305,13,0.07,2026-02-18
32087,Private Suite in Kalorama Gem - Dupont Circle,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,,1,0,17,0.09,2025-09-28
62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY","Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Entire home/apt,143,4,164,191,1.14,2026-05-29
67483,Charming B & B in Columbia Heights,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire home/apt,115,31,339,165,0.88,2025-11-23
93551,Upscale Master Close to Everything,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,Private room,80,31,315,107,0.58,2026-06-13
116951,Upscale Private Close to Everything,"Howard University, Le Droit Park, Cardozo/Shaw",38.91436,-77.0181,Private room,64,31,136,89,0.49,2025-10-24
153545,Academic Stay Guest Room 3 mi to the White House,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,Private room,51,30,321,41,0.23,2024-12-13
161913,X-tra large room; 3 min walk to Metro,"Dupont Circle, Connecticut Avenue/K Street",38.91296,-77.04639,Private room,33,75,365,5,0.04,2015-08-10
164069,Master en-suite in historic house near monuments,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803,Private room,137,1,309,295,1.62,2026-06-21
174808,Historic American Four Square,Historic Anacostia,38.86432,-76.98749,Private room,109,2,168,96,0.77,2026-06-14
175581,Entire 1BR Capitol Hill Apartment!,"Capitol Hill, Lincoln Park",38.88022,-76.98677,Entire home/apt,170,31,173,121,0.67,2019-08-24
178395,"Spare Room for Washington,DC Visit or entire house","Takoma, Brightwood, Manor Park",38.96165,-77.01858,Private room,264,31,365,0,,
196429,"Takoma Garden apt-Lush yard,pets ok","Takoma, Brightwood, Manor Park",38.96923,-77.02041,Entire home/apt,127,31,358,5,0.04,2022-04-01
