id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,reviews_per_month,last_review
934859141300145599,An Exquisite Rooftop Studio,78757,30.3636,-97.7262,Entire home/apt,61.00,3,364,0,,
944156894640610027,Tarrytown bungalow,78703,30.2988,-97.7803,Private room,149.00,1,360,4,0.12,2025-10-18
1634902892490996951,Central East Gem near running trail,78702,30.2518,-97.7284,Entire home/apt,505.00,2,365,0,,
1308737991593278409,Empire,78704,30.2321,-97.7904,Entire home/apt,593.00,1,339,41,2.39,2026-06-20
574582741829434703,Galaxy by AvantStay | Luxury Amenities in Austin,78701,30.2554,-97.7383,Entire home/apt,278.67,2,357,31,0.60,2026-05-15
1228303755231142321,East Side Green Home,78702,30.2713,-97.7005,Entire home/apt,571.00,2,270,1,0.05,2024-10-13
1629102399632790498,Sweet suite in Westgate - garden views,78745,30.2251,-97.7921,Entire home/apt,51.01,30,348,0,,
745531245085063603,Book Now for Graduation/Memorial Day! |15 minSoCo,78744,30.1913,-97.7370,Entire home/apt,300.70,1,10,75,1.71,2026-06-14
889831767371295908,ATX Historic Gem | Near DT | 3 Suites for 10,78701,30.2776,-97.7470,Entire home/apt,330.50,2,300,4,0.13,2026-03-18
1159629773941508075,"Travis heights 3/2 condo! 1 King, 1 full, 1 full",78704,30.2508,-97.7443,Entire home/apt,227.50,2,17,10,0.41,2025-10-19
48867583,Close to UT Austin + Rooftop Pool. Bar. Dining.,78701,30.2687,-97.7376,Private room,208.00,1,157,1382,21.75,2026-06-20
642763279007300879,Private East Austin guest suite w pool access,78724,30.2775,-97.6332,Entire home/apt,114.50,2,355,88,1.80,2026-05-17
700669261299122407,"Luxury condo w/Balcony, Rooftop Pool, Rainey St",78701,30.2565,-97.7388,Entire home/apt,212.50,2,61,149,3.23,2026-06-21
1690760048869752293,Skyline in Hyde ~Two Rooftop Terraces~ Pool+Spa,78751,30.3051,-97.7198,Entire home/apt,1036.29,1,354,1,1.00,2026-05-24
1585158603372219595,Modern Private Room & Bath | 10 Min to Airport,78724,30.2779,-97.6342,Private room,74.18,1,168,8,1.88,2026-06-19
874172056663233580,Heated Rooftop Pool | Free Parking! | Skyline View,78701,30.2565,-97.7388,Entire home/apt,264.92,1,362,197,5.13,2026-05-25
1561640752414299136,Steps From Campus & Red River Spots,78705,30.2929,-97.7252,Private room,36.03,30,89,0,,
52444720,EZ Camp7 at CampEZ in SxSouth Austin TX,78745,30.2103,-97.7716,Entire home/apt,27.50,2,90,33,0.58,2025-05-05
711100790609865421,"Stylish Scandinavian house, 10min from downtown!",78704,30.2311,-97.7730,Entire home/apt,1230.67,3,263,1,0.02,2022-10-23
1455784153994389864,Casita Cactus | Near Q2 & Domain | WiFi + Pool,78727,30.4327,-97.7482,Entire home/apt,149.00,2,117,3,0.31,2026-05-18
