county,states_count,states,county_rows,median_2br,min_2br,min_state,max_2br,max_state
Washington County,30,AL AR CO FL GA IA ID IL IN KS KY MD ME MN MO MS NC NE NY OH OK OR PA RI TN TX UT VA VT WI,30,1187,905,MS,1879,RI
Jefferson County,25,AL AR CO FL GA IA ID IL IN KS KY MO MS MT NE NY OH OK OR PA TN TX WA WI WV,25,1209,905,MS,2169,CO
Franklin County,24,AL AR FL GA IA ID IL IN KS KY MA ME MO MS NC NE NY OH PA TN TX VA VT WA,24,1147,905,MS,2165,VT
Jackson County,23,AL AR CO FL GA IA IL IN KS KY MI MN MO MS NC OH OK OR SD TN TX WI WV,23,1014,909,AR,1546,MO
Lincoln County,23,AR CO GA ID KS KY ME MN MO MS MT NC NE NM NV OK OR SD TN WA WI WV WY,23,1047,905,MS,1400,OR
Madison County,19,AL AR FL GA IA ID IL IN KY MO MS MT NC NE NY OH TN TX VA,19,1289,978,FL,1866,NC
Clay County,18,AL AR FL GA IA IL IN KS KY MN MO MS NC NE SD TN TX WV,18,1018,905,MS,1694,FL
Montgomery County,18,AL AR GA IA IL IN KS KY MD MO MS NC NY OH PA TN TX VA,18,1029,905,MS,2438,MD
Marion County,17,AL AR FL GA IA IL IN KS KY MO MS OH OR SC TN TX WV,17,1041,885,SC,1692,OR
Monroe County,17,AL AR FL GA IA IL IN KY MI MO MS NY OH PA TN WI WV,17,1003,905,MS,2254,FL
Union County,17,AR FL GA IA IL IN KY MS NC NJ NM OH OR PA SC SD TN,17,1019,905,MS,2233,NJ
Wayne County,16,GA IA IL IN KY MI MO MS NC NE NY OH PA TN UT WV,16,1010,905,MS,1459,MI
Grant County,14,AR IN KS KY MN ND NE NM OK OR SD WA WI WV,14,1014,909,AR,1361,WA
Greene County,14,AL AR GA IA IL IN MO MS NC NY OH PA TN VA,14,1013,905,MS,1642,VA
Warren County,14,GA IA IL IN KY MO MS NC NJ NY OH PA TN VA,14,1125,930,IL,2021,NJ
Carroll County,13,AR GA IA IL IN KY MD MO MS NH OH TN VA,13,1005,905,MS,2006,MD
Adams County,12,CO IA ID IL IN MS ND NE OH PA WA WI,12,1014,905,MS,2169,CO
Clark County,12,AR ID IL IN KS KY MO NV OH SD WA WI,12,1014,928,AR,1878,WA
Douglas County,12,CO GA IL KS MN MO NE NV OR SD WA WI,12,1242,930,IL,2169,CO
Johnson County,12,AR GA IA IL IN KS KY MO NE TN TX WY,12,1048,909,AR,1745,TX
Lake County,12,CA CO FL IL IN MI MN MT OH OR SD TN,12,1394,995,TN,2011,IL
Lee County,12,AL AR FL GA IA IL KY MS NC SC TX VA,12,1020,885,SC,1835,FL
Marshall County,12,AL IA IL IN KS KY MN MS OK SD TN WV,12,1012,916,OK,1212,IL
Polk County,12,AR FL GA IA MN MO NC NE OR TN TX WI,12,1069,909,AR,1692,OR
Calhoun County,11,AL AR FL GA IA IL MI MS SC TX WV,11,1010,905,MS,1349,IL
Crawford County,11,AR GA IA IL IN KS MI MO OH PA WI,11,1003,927,IA,1309,GA
