year,geo,purchase,unit,value,geo_label,purchase_label,unit_label
2010,EU27,DW_EXST,I15_A_AVG,100.01,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2011,EU27,DW_EXST,I15_A_AVG,100.67,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2012,EU27,DW_EXST,I15_A_AVG,98.72,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2013,EU27,DW_EXST,I15_A_AVG,97.05,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2014,EU27,DW_EXST,I15_A_AVG,97.78,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2015,EU27,DW_EXST,I15_A_AVG,100.0,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2016,EU27,DW_EXST,I15_A_AVG,104.49,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2017,EU27,DW_EXST,I15_A_AVG,109.75,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2018,EU27,DW_EXST,I15_A_AVG,115.28,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2019,EU27,DW_EXST,I15_A_AVG,120.91,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2020,EU27,DW_EXST,I15_A_AVG,127.81,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2021,EU27,DW_EXST,I15_A_AVG,139.11,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2022,EU27,DW_EXST,I15_A_AVG,149.73,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2023,EU27,DW_EXST,I15_A_AVG,147.42,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2024,EU27,DW_EXST,I15_A_AVG,151.08,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2025,EU27,DW_EXST,I15_A_AVG,159.65,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2015=100"
2005,NL,DW_EXST,I15_A_AVG,106.44,Netherlands,Purchases of existing dwellings,"Annual average index, 2015=100"
2006,NL,DW_EXST,I15_A_AVG,111.29,Netherlands,Purchases of existing dwellings,"Annual average index, 2015=100"
2007,NL,DW_EXST,I15_A_AVG,115.97,Netherlands,Purchases of existing dwellings,"Annual average index, 2015=100"
2008,NL,DW_EXST,I15_A_AVG,119.45,Netherlands,Purchases of existing dwellings,"Annual average index, 2015=100"
2009,NL,DW_EXST,I15_A_AVG,115.39,Netherlands,Purchases of existing dwellings,"Annual average index, 2015=100"
2010,NL,DW_EXST,I15_A_AVG,112.77,Netherlands,Purchases of existing dwellings,"Annual average index, 2015=100"
