month,geo,unit,value,geo_label,unit_label
2016-12,EU27,I15,100.0,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-01,EU27,I15,100.13,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-02,EU27,I15,100.27,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-03,EU27,I15,100.35,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-04,EU27,I15,100.47,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-05,EU27,I15,100.55,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-06,EU27,I15,100.65,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-07,EU27,I15,100.82,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-08,EU27,I15,100.9,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-09,EU27,I15,100.98,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-10,EU27,I15,101.09,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-11,EU27,I15,101.18,European Union - 27 countries (from 2020),"Index, 2015=100"
2017-12,EU27,I15,101.26,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-01,EU27,I15,101.43,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-02,EU27,I15,101.58,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-03,EU27,I15,101.69,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-04,EU27,I15,101.8,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-05,EU27,I15,101.92,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-06,EU27,I15,101.78,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-07,EU27,I15,102.02,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-08,EU27,I15,102.1,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-09,EU27,I15,102.2,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-10,EU27,I15,102.33,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-11,EU27,I15,102.43,European Union - 27 countries (from 2020),"Index, 2015=100"
2018-12,EU27,I15,102.51,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-01,EU27,I15,102.67,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-02,EU27,I15,102.93,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-03,EU27,I15,103.03,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-04,EU27,I15,103.17,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-05,EU27,I15,103.26,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-06,EU27,I15,103.36,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-07,EU27,I15,103.67,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-08,EU27,I15,103.77,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-09,EU27,I15,103.87,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-10,EU27,I15,103.99,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-11,EU27,I15,104.07,European Union - 27 countries (from 2020),"Index, 2015=100"
2019-12,EU27,I15,104.16,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-01,EU27,I15,104.41,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-02,EU27,I15,104.52,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-03,EU27,I15,104.63,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-04,EU27,I15,104.68,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-05,EU27,I15,104.69,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-06,EU27,I15,104.77,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-07,EU27,I15,105.05,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-08,EU27,I15,105.14,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-09,EU27,I15,105.22,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-10,EU27,I15,105.32,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-11,EU27,I15,105.38,European Union - 27 countries (from 2020),"Index, 2015=100"
2020-12,EU27,I15,105.46,European Union - 27 countries (from 2020),"Index, 2015=100"
2021-01,EU27,I15,105.58,European Union - 27 countries (from 2020),"Index, 2015=100"
2021-02,EU27,I15,105.83,European Union - 27 countries (from 2020),"Index, 2015=100"
2021-03,EU27,I15,105.94,European Union - 27 countries (from 2020),"Index, 2015=100"
2021-04,EU27,I15,106.06,European Union - 27 countries (from 2020),"Index, 2015=100"
2021-05,EU27,I15,106.12,European Union - 27 countries (from 2020),"Index, 2015=100"
2021-06,EU27,I15,106.17,European Union - 27 countries (from 2020),"Index, 2015=100"
2021-07,EU27,I15,106.29,European Union - 27 countries (from 2020),"Index, 2015=100"
2021-08,EU27,I15,106.42,European Union - 27 countries (from 2020),"Index, 2015=100"
2021-09,EU27,I15,106.56,European Union - 27 countries (from 2020),"Index, 2015=100"
2021-10,EU27,I15,106.68,European Union - 27 countries (from 2020),"Index, 2015=100"
