month,geo,unit,value,geo_label,unit_label
2017-12,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2018-01,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2018-02,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2018-03,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2018-04,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2018-05,EU27,RCH_A,1.4,European Union - 27 countries (from 2020),Annual rate of change
2018-06,EU27,RCH_A,1.1,European Union - 27 countries (from 2020),Annual rate of change
2018-07,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2018-08,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2018-09,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2018-10,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2018-11,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2018-12,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2019-01,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2019-02,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2019-03,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2019-04,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2019-05,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2019-06,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2019-07,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2019-08,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2019-09,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
