month,geo,sex,age,value,geo_label,sex_label,age_label
2026-07,EL,T,TOTAL,7.9,Greece,Total,Total (16 to 74 years)
2026-07,ES,F,TOTAL,11.2,Spain,Females,Total (16 to 74 years)
2026-07,ES,M,TOTAL,8.9,Spain,Males,Total (16 to 74 years)
2026-07,ES,T,TOTAL,10.0,Spain,Total,Total (16 to 74 years)
2026-07,EU27,F,TOTAL,6.3,European Union - 27 countries (from 2020),Females,Total (16 to 74 years)
2026-07,EU27,M,TOTAL,5.9,European Union - 27 countries (from 2020),Males,Total (16 to 74 years)
2026-07,EU27,T,TOTAL,6.1,European Union - 27 countries (from 2020),Total,Total (16 to 74 years)
2026-07,FR,F,TOTAL,8.2,France,Females,Total (16 to 74 years)
2026-07,FR,M,TOTAL,8.4,France,Males,Total (16 to 74 years)
2026-07,FR,T,TOTAL,8.3,France,Total,Total (16 to 74 years)
2026-07,IT,F,TOTAL,6.6,Italy,Females,Total (16 to 74 years)
2026-07,IT,M,TOTAL,5.2,Italy,Males,Total (16 to 74 years)
2026-07,IT,T,TOTAL,5.8,Italy,Total,Total (16 to 74 years)
2026-07,NL,F,TOTAL,3.9,Netherlands,Females,Total (16 to 74 years)
2026-07,NL,M,TOTAL,4.0,Netherlands,Males,Total (16 to 74 years)
2026-07,NL,T,TOTAL,4.0,Netherlands,Total,Total (16 to 74 years)
2026-07,PL,F,TOTAL,3.4,Poland,Females,Total (16 to 74 years)
2026-07,PL,M,TOTAL,3.3,Poland,Males,Total (16 to 74 years)
2026-07,PL,T,TOTAL,3.4,Poland,Total,Total (16 to 74 years)
2026-07,SE,F,TOTAL,9.0,Sweden,Females,Total (16 to 74 years)
2026-07,SE,M,TOTAL,8.3,Sweden,Males,Total (16 to 74 years)
2026-07,SE,T,TOTAL,8.6,Sweden,Total,Total (16 to 74 years)
