month,geo,sex,age,value,geo_label,sex_label,age_label
2003-01,DE,F,TOTAL,9.0,Germany,Females,Total (16 to 74 years)
2003-01,DE,M,TOTAL,9.7,Germany,Males,Total (16 to 74 years)
2003-01,DE,T,TOTAL,9.4,Germany,Total,Total (16 to 74 years)
2003-01,EL,F,TOTAL,15.0,Greece,Females,Total (16 to 74 years)
2003-01,EL,M,TOTAL,6.3,Greece,Males,Total (16 to 74 years)
2003-01,EL,T,TOTAL,9.8,Greece,Total,Total (16 to 74 years)
2003-01,ES,F,TOTAL,16.3,Spain,Females,Total (16 to 74 years)
2003-01,ES,M,TOTAL,8.6,Spain,Males,Total (16 to 74 years)
2003-01,ES,T,TOTAL,11.7,Spain,Total,Total (16 to 74 years)
2003-01,EU27,F,TOTAL,10.9,European Union - 27 countries (from 2020),Females,Total (16 to 74 years)
2003-01,EU27,M,TOTAL,8.9,European Union - 27 countries (from 2020),Males,Total (16 to 74 years)
2003-01,EU27,T,TOTAL,9.8,European Union - 27 countries (from 2020),Total,Total (16 to 74 years)
2003-01,FR,F,TOTAL,9.0,France,Females,Total (16 to 74 years)
2003-01,FR,M,TOTAL,7.4,France,Males,Total (16 to 74 years)
2003-01,FR,T,TOTAL,8.1,France,Total,Total (16 to 74 years)
2003-01,IT,F,TOTAL,11.9,Italy,Females,Total (16 to 74 years)
2003-01,IT,M,TOTAL,6.7,Italy,Males,Total (16 to 74 years)
2003-01,IT,T,TOTAL,8.8,Italy,Total,Total (16 to 74 years)
2003-01,NL,F,TOTAL,6.3,Netherlands,Females,Total (16 to 74 years)
2003-01,NL,M,TOTAL,4.4,Netherlands,Males,Total (16 to 74 years)
2003-01,NL,T,TOTAL,5.3,Netherlands,Total,Total (16 to 74 years)
2003-01,PL,F,TOTAL,20.6,Poland,Females,Total (16 to 74 years)
2003-01,PL,M,TOTAL,19.3,Poland,Males,Total (16 to 74 years)
2003-01,PL,T,TOTAL,19.9,Poland,Total,Total (16 to 74 years)
2003-01,SE,F,TOTAL,6.3,Sweden,Females,Total (16 to 74 years)
2003-01,SE,M,TOTAL,6.6,Sweden,Males,Total (16 to 74 years)
2003-01,SE,T,TOTAL,6.5,Sweden,Total,Total (16 to 74 years)
2003-02,DE,F,TOTAL,9.1,Germany,Females,Total (16 to 74 years)
2003-02,DE,M,TOTAL,9.8,Germany,Males,Total (16 to 74 years)
2003-02,DE,T,TOTAL,9.5,Germany,Total,Total (16 to 74 years)
2003-02,EL,F,TOTAL,14.9,Greece,Females,Total (16 to 74 years)
2003-02,EL,M,TOTAL,6.3,Greece,Males,Total (16 to 74 years)
2003-02,EL,T,TOTAL,9.7,Greece,Total,Total (16 to 74 years)
2003-02,ES,F,TOTAL,16.4,Spain,Females,Total (16 to 74 years)
2003-02,ES,M,TOTAL,8.5,Spain,Males,Total (16 to 74 years)
2003-02,ES,T,TOTAL,11.7,Spain,Total,Total (16 to 74 years)
2003-02,EU27,F,TOTAL,10.9,European Union - 27 countries (from 2020),Females,Total (16 to 74 years)
2003-02,EU27,M,TOTAL,8.9,European Union - 27 countries (from 2020),Males,Total (16 to 74 years)
2003-02,EU27,T,TOTAL,9.8,European Union - 27 countries (from 2020),Total,Total (16 to 74 years)
2003-02,FR,F,TOTAL,9.1,France,Females,Total (16 to 74 years)
2003-02,FR,M,TOTAL,7.5,France,Males,Total (16 to 74 years)
2003-02,FR,T,TOTAL,8.3,France,Total,Total (16 to 74 years)
2003-02,IT,F,TOTAL,11.9,Italy,Females,Total (16 to 74 years)
2003-02,IT,M,TOTAL,6.6,Italy,Males,Total (16 to 74 years)
2003-02,IT,T,TOTAL,8.7,Italy,Total,Total (16 to 74 years)
2003-02,NL,F,TOTAL,6.4,Netherlands,Females,Total (16 to 74 years)
