year,geo,sex,age,value,geo_label,sex_label,age_label
2003,FR,F,Y15-24,22.7,France,Females,From 15 to 24 years
2003,FR,M,Y15-24,17.9,France,Males,From 15 to 24 years
2003,FR,T,Y15-24,20.1,France,Total,From 15 to 24 years
2003,FR,F,Y15-29,14.8,France,Females,From 15 to 29 years
2003,FR,M,Y15-29,14.2,France,Males,From 15 to 29 years
2003,FR,T,Y15-29,14.5,France,Total,From 15 to 29 years
2003,FR,F,Y15-74,9.3,France,Females,From 15 to 74 years
2003,FR,M,Y15-74,7.8,France,Males,From 15 to 74 years
2003,FR,T,Y15-74,8.5,France,Total,From 15 to 74 years
2003,FR,F,Y20-64,8.9,France,Females,From 20 to 64 years
2003,FR,M,Y20-64,7.4,France,Males,From 20 to 64 years
2003,FR,T,Y20-64,8.1,France,Total,From 20 to 64 years
2003,FR,F,Y25-54,8.2,France,Females,From 25 to 54 years
2003,FR,M,Y25-54,6.8,France,Males,From 25 to 54 years
2003,FR,T,Y25-54,7.5,France,Total,From 25 to 54 years
2003,FR,F,Y25-74,7.8,France,Females,From 25 to 74 years
2003,FR,M,Y25-74,6.6,France,Males,From 25 to 74 years
2003,FR,T,Y25-74,7.1,France,Total,From 25 to 74 years
2003,FR,F,Y55-74,4.4,France,Females,From 55 to 74 years
2003,FR,M,Y55-74,4.4,France,Males,From 55 to 74 years
2003,FR,T,Y55-74,4.4,France,Total,From 55 to 74 years
2004,FR,F,Y15-24,24.7,France,Females,From 15 to 24 years
2004,FR,M,Y15-24,19.3,France,Males,From 15 to 24 years
2004,FR,T,Y15-24,21.7,France,Total,From 15 to 24 years
2004,FR,F,Y15-29,16.0,France,Females,From 15 to 29 years
2004,FR,M,Y15-29,15.4,France,Males,From 15 to 29 years
2004,FR,T,Y15-29,15.7,France,Total,From 15 to 29 years
2004,FR,F,Y15-74,9.7,France,Females,From 15 to 74 years
2004,FR,M,Y15-74,8.2,France,Males,From 15 to 74 years
2004,FR,T,Y15-74,8.9,France,Total,From 15 to 74 years
2004,FR,F,Y20-64,9.1,France,Females,From 20 to 64 years
2004,FR,M,Y20-64,7.7,France,Males,From 20 to 64 years
2004,FR,T,Y20-64,8.4,France,Total,From 20 to 64 years
2004,FR,F,Y25-54,8.3,France,Females,From 25 to 54 years
2004,FR,M,Y25-54,7.0,France,Males,From 25 to 54 years
2004,FR,T,Y25-54,7.7,France,Total,From 25 to 54 years
2004,FR,F,Y25-74,8.0,France,Females,From 25 to 74 years
2004,FR,M,Y25-74,6.8,France,Males,From 25 to 74 years
2004,FR,T,Y25-74,7.3,France,Total,From 25 to 74 years
2004,FR,F,Y55-74,5.1,France,Females,From 55 to 74 years
2004,FR,M,Y55-74,4.7,France,Males,From 55 to 74 years
2004,FR,T,Y55-74,4.9,France,Total,From 55 to 74 years
2005,FR,F,Y15-24,25.7,France,Females,From 15 to 24 years
2005,FR,M,Y15-24,19.5,France,Males,From 15 to 24 years
2005,FR,T,Y15-24,22.3,France,Total,From 15 to 24 years
2005,FR,F,Y15-29,16.1,France,Females,From 15 to 29 years
2005,FR,M,Y15-29,15.6,France,Males,From 15 to 29 years
2005,FR,T,Y15-29,15.8,France,Total,From 15 to 29 years
2005,FR,F,Y15-74,9.6,France,Females,From 15 to 74 years
2005,FR,M,Y15-74,8.2,France,Males,From 15 to 74 years
2005,FR,T,Y15-74,8.9,France,Total,From 15 to 74 years
2005,FR,F,Y20-64,9.1,France,Females,From 20 to 64 years
2005,FR,M,Y20-64,7.8,France,Males,From 20 to 64 years
2005,FR,T,Y20-64,8.4,France,Total,From 20 to 64 years
2005,FR,F,Y25-54,8.3,France,Females,From 25 to 54 years
2005,FR,M,Y25-54,7.1,France,Males,From 25 to 54 years
2005,FR,T,Y25-54,7.7,France,Total,From 25 to 54 years
2005,FR,F,Y25-74,7.8,France,Females,From 25 to 74 years
2005,FR,M,Y25-74,6.8,France,Males,From 25 to 74 years
2005,FR,T,Y25-74,7.3,France,Total,From 25 to 74 years
2005,FR,F,Y55-74,4.3,France,Females,From 55 to 74 years
2005,FR,M,Y55-74,4.7,France,Males,From 55 to 74 years
2005,FR,T,Y55-74,4.5,France,Total,From 55 to 74 years
2005,SE,F,Y15-24,22.0,Sweden,Females,From 15 to 24 years
2005,SE,M,Y15-24,22.3,Sweden,Males,From 15 to 24 years
2005,SE,T,Y15-24,22.2,Sweden,Total,From 15 to 24 years
2005,SE,F,Y15-74,7.9,Sweden,Females,From 15 to 74 years
2005,SE,M,Y15-74,7.9,Sweden,Males,From 15 to 74 years
2005,SE,T,Y15-74,7.9,Sweden,Total,From 15 to 74 years
2005,SE,F,Y20-64,6.8,Sweden,Females,From 20 to 64 years
2005,SE,M,Y20-64,7.2,Sweden,Males,From 20 to 64 years
2005,SE,T,Y20-64,7.0,Sweden,Total,From 20 to 64 years
2005,SE,F,Y25-54,6.6,Sweden,Females,From 25 to 54 years
2005,SE,M,Y25-54,6.4,Sweden,Males,From 25 to 54 years
2005,SE,T,Y25-54,6.5,Sweden,Total,From 25 to 54 years
2005,SE,F,Y25-74,5.9,Sweden,Females,From 25 to 74 years
2005,SE,M,Y25-74,6.1,Sweden,Males,From 25 to 74 years
2005,SE,T,Y25-74,6.0,Sweden,Total,From 25 to 74 years
2005,SE,F,Y55-74,3.4,Sweden,Females,From 55 to 74 years
2005,SE,M,Y55-74,5.0,Sweden,Males,From 55 to 74 years
2005,SE,T,Y55-74,4.3,Sweden,Total,From 55 to 74 years
2006,FR,F,Y15-24,27.2,France,Females,From 15 to 24 years
2006,FR,M,Y15-24,20.4,France,Males,From 15 to 24 years
2006,FR,T,Y15-24,23.5,France,Total,From 15 to 24 years
2006,FR,F,Y15-29,16.4,France,Females,From 15 to 29 years
2006,FR,M,Y15-29,15.7,France,Males,From 15 to 29 years
2006,FR,T,Y15-29,16.0,France,Total,From 15 to 29 years
2006,FR,F,Y15-74,9.5,France,Females,From 15 to 74 years
2006,FR,M,Y15-74,8.3,France,Males,From 15 to 74 years
2006,FR,T,Y15-74,8.9,France,Total,From 15 to 74 years
2006,FR,F,Y20-64,8.8,France,Females,From 20 to 64 years
2006,FR,M,Y20-64,7.7,France,Males,From 20 to 64 years
2006,FR,T,Y20-64,8.3,France,Total,From 20 to 64 years
2006,FR,F,Y25-54,7.9,France,Females,From 25 to 54 years
2006,FR,M,Y25-54,6.9,France,Males,From 25 to 54 years
2006,FR,T,Y25-54,7.4,France,Total,From 25 to 54 years
2006,FR,F,Y25-74,7.5,France,Females,From 25 to 74 years
2006,FR,M,Y25-74,6.7,France,Males,From 25 to 74 years
2006,FR,T,Y25-74,7.1,France,Total,From 25 to 74 years
2006,FR,F,Y55-74,4.7,France,Females,From 55 to 74 years
2006,FR,M,Y55-74,5.2,France,Males,From 55 to 74 years
2006,FR,T,Y55-74,5.0,France,Total,From 55 to 74 years
2006,SE,F,Y15-24,21.5,Sweden,Females,From 15 to 24 years
2006,SE,M,Y15-24,20.2,Sweden,Males,From 15 to 24 years
2006,SE,T,Y15-24,20.9,Sweden,Total,From 15 to 24 years
2006,SE,F,Y15-74,7.4,Sweden,Females,From 15 to 74 years
2006,SE,M,Y15-74,7.0,Sweden,Males,From 15 to 74 years
2006,SE,T,Y15-74,7.2,Sweden,Total,From 15 to 74 years
2006,SE,F,Y20-64,6.2,Sweden,Females,From 20 to 64 years
2006,SE,M,Y20-64,6.2,Sweden,Males,From 20 to 64 years
2006,SE,T,Y20-64,6.2,Sweden,Total,From 20 to 64 years
2006,SE,F,Y25-54,5.8,Sweden,Females,From 25 to 54 years
2006,SE,M,Y25-54,5.4,Sweden,Males,From 25 to 54 years
2006,SE,T,Y25-54,5.6,Sweden,Total,From 25 to 54 years
2006,SE,F,Y25-74,5.3,Sweden,Females,From 25 to 74 years
2006,SE,M,Y25-74,5.2,Sweden,Males,From 25 to 74 years
2006,SE,T,Y25-74,5.3,Sweden,Total,From 25 to 74 years
2006,SE,F,Y55-74,3.8,Sweden,Females,From 55 to 74 years
2006,SE,M,Y55-74,4.6,Sweden,Males,From 55 to 74 years
2006,SE,T,Y55-74,4.3,Sweden,Total,From 55 to 74 years
2007,FR,F,Y15-24,23.8,France,Females,From 15 to 24 years
2007,FR,M,Y15-24,18.4,France,Males,From 15 to 24 years
2007,FR,T,Y15-24,20.8,France,Total,From 15 to 24 years
2007,FR,F,Y15-29,15.1,France,Females,From 15 to 29 years
2007,FR,M,Y15-29,14.5,France,Males,From 15 to 29 years
2007,FR,T,Y15-29,14.8,France,Total,From 15 to 29 years
2007,FR,F,Y15-74,8.4,France,Females,From 15 to 74 years
2007,FR,M,Y15-74,7.6,France,Males,From 15 to 74 years
2007,FR,T,Y15-74,8.0,France,Total,From 15 to 74 years
2007,FR,F,Y20-64,7.8,France,Females,From 20 to 64 years
2007,FR,M,Y20-64,7.2,France,Males,From 20 to 64 years
2007,FR,T,Y20-64,7.5,France,Total,From 20 to 64 years
2007,FR,F,Y25-54,7.1,France,Females,From 25 to 54 years
2007,FR,M,Y25-54,6.5,France,Males,From 25 to 54 years
2007,FR,T,Y25-54,6.8,France,Total,From 25 to 54 years
2007,FR,F,Y25-74,6.7,France,Females,From 25 to 74 years
2007,FR,M,Y25-74,6.3,France,Males,From 25 to 74 years
2007,FR,T,Y25-74,6.5,France,Total,From 25 to 74 years
2007,FR,F,Y55-74,4.1,France,Females,From 55 to 74 years
2007,FR,M,Y55-74,4.7,France,Males,From 55 to 74 years
2007,FR,T,Y55-74,4.4,France,Total,From 55 to 74 years
2007,SE,F,Y15-24,19.3,Sweden,Females,From 15 to 24 years
2007,SE,M,Y15-24,17.9,Sweden,Males,From 15 to 24 years
2007,SE,T,Y15-24,18.6,Sweden,Total,From 15 to 24 years
2007,SE,F,Y15-74,6.6,Sweden,Females,From 15 to 74 years
2007,SE,M,Y15-74,5.9,Sweden,Males,From 15 to 74 years
2007,SE,T,Y15-74,6.3,Sweden,Total,From 15 to 74 years
2007,SE,F,Y20-64,5.5,Sweden,Females,From 20 to 64 years
2007,SE,M,Y20-64,5.1,Sweden,Males,From 20 to 64 years
2007,SE,T,Y20-64,5.3,Sweden,Total,From 20 to 64 years
2007,SE,F,Y25-54,5.0,Sweden,Females,From 25 to 54 years
2007,SE,M,Y25-54,4.3,Sweden,Males,From 25 to 54 years
2007,SE,T,Y25-54,4.7,Sweden,Total,From 25 to 54 years
2007,SE,F,Y25-74,4.7,Sweden,Females,From 25 to 74 years
2007,SE,M,Y25-74,4.3,Sweden,Males,From 25 to 74 years
2007,SE,T,Y25-74,4.5,Sweden,Total,From 25 to 74 years
2007,SE,F,Y55-74,3.5,Sweden,Females,From 55 to 74 years
2007,SE,M,Y55-74,4.1,Sweden,Males,From 55 to 74 years
2007,SE,T,Y55-74,3.8,Sweden,Total,From 55 to 74 years
2008,FR,F,Y15-24,22.3,France,Females,From 15 to 24 years
2008,FR,M,Y15-24,18.5,France,Males,From 15 to 24 years
2008,FR,T,Y15-24,20.2,France,Total,From 15 to 24 years
2008,FR,F,Y15-29,13.9,France,Females,From 15 to 29 years
2008,FR,M,Y15-29,13.9,France,Males,From 15 to 29 years
2008,FR,T,Y15-29,13.9,France,Total,From 15 to 29 years
2008,FR,F,Y15-74,7.8,France,Females,From 15 to 74 years
2008,FR,M,Y15-74,7.1,France,Males,From 15 to 74 years
2008,FR,T,Y15-74,7.4,France,Total,From 15 to 74 years
2008,FR,F,Y20-64,7.3,France,Females,From 20 to 64 years
2008,FR,M,Y20-64,6.7,France,Males,From 20 to 64 years
2008,FR,T,Y20-64,7.0,France,Total,From 20 to 64 years
2008,FR,F,Y25-54,6.6,France,Females,From 25 to 54 years
2008,FR,M,Y25-54,5.9,France,Males,From 25 to 54 years
2008,FR,T,Y25-54,6.2,France,Total,From 25 to 54 years
2008,FR,F,Y25-74,6.2,France,Females,From 25 to 74 years
2008,FR,M,Y25-74,5.7,France,Males,From 25 to 74 years
2008,FR,T,Y25-74,5.9,France,Total,From 25 to 74 years
2008,FR,F,Y55-74,3.7,France,Females,From 55 to 74 years
2008,FR,M,Y55-74,4.5,France,Males,From 55 to 74 years
2008,FR,T,Y55-74,4.1,France,Total,From 55 to 74 years
2008,SE,F,Y15-24,20.3,Sweden,Females,From 15 to 24 years
2008,SE,M,Y15-24,18.8,Sweden,Males,From 15 to 24 years
2008,SE,T,Y15-24,19.6,Sweden,Total,From 15 to 24 years
2008,SE,F,Y15-74,6.7,Sweden,Females,From 15 to 74 years
2008,SE,M,Y15-74,6.0,Sweden,Males,From 15 to 74 years
2008,SE,T,Y15-74,6.3,Sweden,Total,From 15 to 74 years
2008,SE,F,Y20-64,5.4,Sweden,Females,From 20 to 64 years
2008,SE,M,Y20-64,5.0,Sweden,Males,From 20 to 64 years
2008,SE,T,Y20-64,5.2,Sweden,Total,From 20 to 64 years
2008,SE,F,Y25-54,4.9,Sweden,Females,From 25 to 54 years
2008,SE,M,Y25-54,4.2,Sweden,Males,From 25 to 54 years
2008,SE,T,Y25-54,4.5,Sweden,Total,From 25 to 54 years
2008,SE,F,Y25-74,4.6,Sweden,Females,From 25 to 74 years
2008,SE,M,Y25-74,4.1,Sweden,Males,From 25 to 74 years
2008,SE,T,Y25-74,4.3,Sweden,Total,From 25 to 74 years
2008,SE,F,Y55-74,3.4,Sweden,Females,From 55 to 74 years
2008,SE,M,Y55-74,3.8,Sweden,Males,From 55 to 74 years
2008,SE,T,Y55-74,3.6,Sweden,Total,From 55 to 74 years
2009,DE,F,Y15-24,10.5,Germany,Females,From 15 to 24 years
2009,DE,M,Y15-24,13.2,Germany,Males,From 15 to 24 years
2009,DE,T,Y15-24,11.9,Germany,Total,From 15 to 24 years
2009,DE,F,Y15-29,8.4,Germany,Females,From 15 to 29 years
2009,DE,M,Y15-29,11.1,Germany,Males,From 15 to 29 years
2009,DE,T,Y15-29,9.8,Germany,Total,From 15 to 29 years
2009,DE,F,Y15-74,6.9,Germany,Females,From 15 to 74 years
2009,DE,M,Y15-74,7.7,Germany,Males,From 15 to 74 years
2009,DE,T,Y15-74,7.3,Germany,Total,From 15 to 74 years
2009,DE,F,Y20-64,6.8,Germany,Females,From 20 to 64 years
2009,DE,M,Y20-64,7.7,Germany,Males,From 20 to 64 years
2009,DE,T,Y20-64,7.3,Germany,Total,From 20 to 64 years
2009,DE,F,Y25-54,6.3,Germany,Females,From 25 to 54 years
2009,DE,M,Y25-54,7.1,Germany,Males,From 25 to 54 years
2009,DE,T,Y25-54,6.7,Germany,Total,From 25 to 54 years
2009,DE,F,Y25-74,6.4,Germany,Females,From 25 to 74 years
2009,DE,M,Y25-74,7.0,Germany,Males,From 25 to 74 years
2009,DE,T,Y25-74,6.7,Germany,Total,From 25 to 74 years
2009,DE,F,Y55-74,6.9,Germany,Females,From 55 to 74 years
2009,DE,M,Y55-74,6.7,Germany,Males,From 55 to 74 years
2009,DE,T,Y55-74,6.8,Germany,Total,From 55 to 74 years
2009,EA20,F,Y15-24,20.6,Euro area – 20 countries (2023-2025),Females,From 15 to 24 years
2009,EA20,M,Y15-24,21.8,Euro area – 20 countries (2023-2025),Males,From 15 to 24 years
2009,EA20,T,Y15-24,21.3,Euro area – 20 countries (2023-2025),Total,From 15 to 24 years
2009,EA20,F,Y15-29,15.9,Euro area – 20 countries (2023-2025),Females,From 15 to 29 years
2009,EA20,M,Y15-29,17.3,Euro area – 20 countries (2023-2025),Males,From 15 to 29 years
2009,EA20,T,Y15-29,16.6,Euro area – 20 countries (2023-2025),Total,From 15 to 29 years
2009,EA20,F,Y15-74,9.8,Euro area – 20 countries (2023-2025),Females,From 15 to 74 years
2009,EA20,M,Y15-74,9.5,Euro area – 20 countries (2023-2025),Males,From 15 to 74 years
2009,EA20,T,Y15-74,9.7,Euro area – 20 countries (2023-2025),Total,From 15 to 74 years
2009,EA20,F,Y20-64,9.5,Euro area – 20 countries (2023-2025),Females,From 20 to 64 years
2009,EA20,M,Y20-64,9.2,Euro area – 20 countries (2023-2025),Males,From 20 to 64 years
2009,EA20,T,Y20-64,9.3,Euro area – 20 countries (2023-2025),Total,From 20 to 64 years
2009,EA20,F,Y25-54,8.9,Euro area – 20 countries (2023-2025),Females,From 25 to 54 years
2009,EA20,M,Y25-54,8.4,Euro area – 20 countries (2023-2025),Males,From 25 to 54 years
2009,EA20,T,Y25-54,8.6,Euro area – 20 countries (2023-2025),Total,From 25 to 54 years
2009,EA20,F,Y25-74,8.6,Euro area – 20 countries (2023-2025),Females,From 25 to 74 years
2009,EA20,M,Y25-74,8.1,Euro area – 20 countries (2023-2025),Males,From 25 to 74 years
2009,EA20,T,Y25-74,8.3,Euro area – 20 countries (2023-2025),Total,From 25 to 74 years
2009,EA20,F,Y55-74,6.4,Euro area – 20 countries (2023-2025),Females,From 55 to 74 years
2009,EA20,M,Y55-74,6.3,Euro area – 20 countries (2023-2025),Males,From 55 to 74 years
2009,EA20,T,Y55-74,6.4,Euro area – 20 countries (2023-2025),Total,From 55 to 74 years
2009,EL,F,Y15-24,33.6,Greece,Females,From 15 to 24 years
2009,EL,M,Y15-24,20.1,Greece,Males,From 15 to 24 years
2009,EL,T,Y15-24,26.1,Greece,Total,From 15 to 24 years
2009,EL,F,Y15-29,24.3,Greece,Females,From 15 to 29 years
2009,EL,M,Y15-29,14.9,Greece,Males,From 15 to 29 years
2009,EL,T,Y15-29,19.1,Greece,Total,From 15 to 29 years
2009,EL,F,Y15-74,13.5,Greece,Females,From 15 to 74 years
2009,EL,M,Y15-74,7.1,Greece,Males,From 15 to 74 years
2009,EL,T,Y15-74,9.8,Greece,Total,From 15 to 74 years
2009,EL,F,Y20-64,13.4,Greece,Females,From 20 to 64 years
2009,EL,M,Y20-64,7.0,Greece,Males,From 20 to 64 years
2009,EL,T,Y20-64,9.7,Greece,Total,From 20 to 64 years
2009,EL,F,Y25-54,12.6,Greece,Females,From 25 to 54 years
2009,EL,M,Y25-54,6.6,Greece,Males,From 25 to 54 years
2009,EL,T,Y25-54,9.2,Greece,Total,From 25 to 54 years
2009,EL,F,Y25-74,11.8,Greece,Females,From 25 to 74 years
2009,EL,M,Y25-74,6.0,Greece,Males,From 25 to 74 years
2009,EL,T,Y25-74,8.4,Greece,Total,From 25 to 74 years
2009,EL,F,Y55-74,5.1,Greece,Females,From 55 to 74 years
2009,EL,M,Y55-74,3.7,Greece,Males,From 55 to 74 years
2009,EL,T,Y55-74,4.2,Greece,Total,From 55 to 74 years
2009,ES,F,Y15-24,36.1,Spain,Females,From 15 to 24 years
2009,ES,M,Y15-24,39.1,Spain,Males,From 15 to 24 years
2009,ES,T,Y15-24,37.7,Spain,Total,From 15 to 24 years
2009,ES,F,Y15-29,26.6,Spain,Females,From 15 to 29 years
2009,ES,M,Y15-29,30.2,Spain,Males,From 15 to 29 years
2009,ES,T,Y15-29,28.5,Spain,Total,From 15 to 29 years
2009,ES,F,Y15-74,18.1,Spain,Females,From 15 to 74 years
2009,ES,M,Y15-74,17.7,Spain,Males,From 15 to 74 years
2009,ES,T,Y15-74,17.9,Spain,Total,From 15 to 74 years
2009,ES,F,Y20-64,17.5,Spain,Females,From 20 to 64 years
2009,ES,M,Y20-64,16.9,Spain,Males,From 20 to 64 years
2009,ES,T,Y20-64,17.2,Spain,Total,From 20 to 64 years
2009,ES,F,Y25-54,16.6,Spain,Females,From 25 to 54 years
2009,ES,M,Y25-54,16.1,Spain,Males,From 25 to 54 years
2009,ES,T,Y25-54,16.3,Spain,Total,From 25 to 54 years
2009,ES,F,Y25-74,16.2,Spain,Females,From 25 to 74 years
2009,ES,M,Y25-74,15.4,Spain,Males,From 25 to 74 years
2009,ES,T,Y25-74,15.7,Spain,Total,From 25 to 74 years
2009,ES,F,Y55-74,12.7,Spain,Females,From 55 to 74 years
2009,ES,M,Y55-74,10.9,Spain,Males,From 55 to 74 years
2009,ES,T,Y55-74,11.6,Spain,Total,From 55 to 74 years
2009,EU27,F,Y15-24,20.6,European Union - 27 countries (from 2020),Females,From 15 to 24 years
2009,EU27,M,Y15-24,21.8,European Union - 27 countries (from 2020),Males,From 15 to 24 years
2009,EU27,T,Y15-24,21.2,European Union - 27 countries (from 2020),Total,From 15 to 24 years
2009,EU27,F,Y15-29,15.6,European Union - 27 countries (from 2020),Females,From 15 to 29 years
2009,EU27,M,Y15-29,16.8,European Union - 27 countries (from 2020),Males,From 15 to 29 years
2009,EU27,T,Y15-29,16.3,European Union - 27 countries (from 2020),Total,From 15 to 29 years
2009,EU27,F,Y15-74,9.5,European Union - 27 countries (from 2020),Females,From 15 to 74 years
2009,EU27,M,Y15-74,9.2,European Union - 27 countries (from 2020),Males,From 15 to 74 years
2009,EU27,T,Y15-74,9.3,European Union - 27 countries (from 2020),Total,From 15 to 74 years
2009,EU27,F,Y20-64,9.1,European Union - 27 countries (from 2020),Females,From 20 to 64 years
2009,EU27,M,Y20-64,8.9,European Union - 27 countries (from 2020),Males,From 20 to 64 years
2009,EU27,T,Y20-64,9.0,European Union - 27 countries (from 2020),Total,From 20 to 64 years
2009,EU27,F,Y25-54,8.5,European Union - 27 countries (from 2020),Females,From 25 to 54 years
2009,EU27,M,Y25-54,8.1,European Union - 27 countries (from 2020),Males,From 25 to 54 years
2009,EU27,T,Y25-54,8.3,European Union - 27 countries (from 2020),Total,From 25 to 54 years
2009,EU27,F,Y25-74,8.2,European Union - 27 countries (from 2020),Females,From 25 to 74 years
2009,EU27,M,Y25-74,7.8,European Union - 27 countries (from 2020),Males,From 25 to 74 years
2009,EU27,T,Y25-74,8.0,European Union - 27 countries (from 2020),Total,From 25 to 74 years
2009,EU27,F,Y55-74,6.1,European Union - 27 countries (from 2020),Females,From 55 to 74 years
2009,EU27,M,Y55-74,6.2,European Union - 27 countries (from 2020),Males,From 55 to 74 years
2009,EU27,T,Y55-74,6.2,European Union - 27 countries (from 2020),Total,From 55 to 74 years
2009,FR,F,Y15-24,26.5,France,Females,From 15 to 24 years
2009,FR,M,Y15-24,23.8,France,Males,From 15 to 24 years
2009,FR,T,Y15-24,25.0,France,Total,From 15 to 24 years
2009,FR,F,Y15-29,16.8,France,Females,From 15 to 29 years
2009,FR,M,Y15-29,18.0,France,Males,From 15 to 29 years
2009,FR,T,Y15-29,17.4,France,Total,From 15 to 29 years
2009,FR,F,Y15-74,9.2,France,Females,From 15 to 74 years
2009,FR,M,Y15-74,9.0,France,Males,From 15 to 74 years
2009,FR,T,Y15-74,9.1,France,Total,From 15 to 74 years
2009,FR,F,Y20-64,8.5,France,Females,From 20 to 64 years
2009,FR,M,Y20-64,8.5,France,Males,From 20 to 64 years
2009,FR,T,Y20-64,8.5,France,Total,From 20 to 64 years
2009,FR,F,Y25-54,7.7,France,Females,From 25 to 54 years
2009,FR,M,Y25-54,7.4,France,Males,From 25 to 54 years
2009,FR,T,Y25-54,7.5,France,Total,From 25 to 54 years
2009,FR,F,Y25-74,7.3,France,Females,From 25 to 74 years
2009,FR,M,Y25-74,7.2,France,Males,From 25 to 74 years
2009,FR,T,Y25-74,7.2,France,Total,From 25 to 74 years
2009,FR,F,Y55-74,5.1,France,Females,From 55 to 74 years
2009,FR,M,Y55-74,5.8,France,Males,From 55 to 74 years
2009,FR,T,Y55-74,5.4,France,Total,From 55 to 74 years
