zip,hud_area_code,metro,area_name,state,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
76437,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
76443,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
76464,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
76469,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79501,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79503,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1510,1790
79504,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79508,METRO10180M10180,metro,"Abilene, TX MSA",TX,970,1050,1320,1710,2030
79510,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79519,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79520,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79521,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79525,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,950,1180,1540,1830
79530,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,940,1180,1530,1810
79533,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79536,METRO10180M10180,metro,"Abilene, TX MSA",TX,1100,1200,1500,1950,2310
79541,METRO10180M10180,metro,"Abilene, TX MSA",TX,1010,1090,1370,1750,2080
79553,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,1000,1250,1620,1920
79560,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79561,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79562,METRO10180M10180,metro,"Abilene, TX MSA",TX,1440,1570,1970,2560,3030
79563,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
