state,state_name,county,metro,fmr_0br_median,fmr_0br_max,fmr_1br_median,fmr_1br_max,fmr_2br_median,fmr_2br_max,fmr_3br_median,fmr_3br_max,fmr_4br_median,fmr_4br_max,area_rows
AK,Alaska,Aleutians East Borough,nonmetro,993,993,1263,1263,1385,1385,1661,1661,2281,2281,1
AK,Alaska,Aleutians West Census Area,nonmetro,1571,1571,1670,1670,2191,2191,2652,2652,2901,2901,1
AK,Alaska,Anchorage Municipality,metro,1152,1152,1243,1243,1631,1631,2268,2268,2736,2736,1
AK,Alaska,Bethel Census Area,nonmetro,1688,1688,1719,1719,1938,1938,2324,2324,2566,2566,1
AK,Alaska,Bristol Bay Borough,nonmetro,891,891,1134,1134,1243,1243,1729,1729,2047,2047,1
AK,Alaska,Chugach Census Area,nonmetro,1038,1038,1374,1374,1506,1506,2094,2094,2526,2526,1
AK,Alaska,Copper River Census Area,nonmetro,810,810,930,930,1130,1130,1572,1572,1896,1896,1
AK,Alaska,Denali Borough,nonmetro,851,851,935,935,1187,1187,1651,1651,1955,1955,1
AK,Alaska,Dillingham Census Area,nonmetro,894,894,1138,1138,1247,1247,1734,1734,2054,2054,1
AK,Alaska,Fairbanks North Star Borough,metro,1156,1156,1277,1277,1676,1676,2331,2331,2812,2812,1
AK,Alaska,Haines Borough,nonmetro,945,945,1033,1033,1321,1321,1771,1771,2088,2088,1
AK,Alaska,Hoonah-Angoon Census Area,nonmetro,1007,1007,1113,1113,1460,1460,1751,1751,1933,1933,1
AK,Alaska,Juneau City and Borough,nonmetro,1212,1212,1340,1340,1758,1758,2368,2368,2679,2679,1
AK,Alaska,Kenai Peninsula Borough,nonmetro,993,993,1000,1000,1312,1312,1825,1825,2201,2201,1
AK,Alaska,Ketchikan Gateway Borough,nonmetro,1120,1120,1238,1238,1625,1625,2260,2260,2726,2726,1
AK,Alaska,Kodiak Island Borough,nonmetro,1431,1431,1581,1581,2075,2075,2488,2488,2747,2747,1
AK,Alaska,Kusilvak Census Area,nonmetro,698,698,767,767,973,973,1353,1353,1602,1602,1
AK,Alaska,Lake and Peninsula Borough,nonmetro,739,739,894,894,1030,1030,1391,1391,1596,1596,1
AK,Alaska,Matanuska-Susitna Borough,metro,1015,1015,1049,1049,1376,1376,1914,1914,2308,2308,1
AK,Alaska,Nome Census Area,nonmetro,1227,1227,1334,1334,1533,1533,2132,2132,2525,2525,1
AK,Alaska,North Slope Borough,nonmetro,1115,1115,1239,1239,1625,1625,1958,1958,2664,2664,1
AK,Alaska,Northwest Arctic Borough,nonmetro,1331,1331,1471,1471,1930,1930,2547,2547,2676,2676,1
AK,Alaska,Petersburg Borough,nonmetro,1049,1049,1211,1211,1463,1463,1754,1754,2022,2022,1
AK,Alaska,Prince of Wales-Hyder Census Area,nonmetro,827,827,1030,1030,1153,1153,1464,1464,1899,1899,1
AK,Alaska,Sitka City and Borough,nonmetro,1099,1099,1350,1350,1566,1566,2178,2178,2627,2627,1
AK,Alaska,Skagway Municipality,nonmetro,1133,1133,1253,1253,1644,1644,2245,2245,2708,2708,1
AK,Alaska,Southeast Fairbanks Census Area,nonmetro,942,942,1198,1198,1313,1313,1826,1826,2162,2162,1
AK,Alaska,Wrangell City and Borough,nonmetro,921,921,928,928,1217,1217,1682,1682,2042,2042,1
AK,Alaska,Yakutat City and Borough,nonmetro,995,995,1094,1094,1388,1388,1753,1753,2286,2286,1
AK,Alaska,Yukon-Koyukuk Census Area,nonmetro,981,981,1019,1019,1126,1126,1566,1566,1854,1854,1
AL,Alabama,Autauga County,metro,860,860,870,870,1016,1016,1304,1304,1537,1537,1
AL,Alabama,Baldwin County,metro,1094,1094,1200,1200,1345,1345,1692,1692,2171,2171,1
AL,Alabama,Barbour County,nonmetro,576,576,693,693,776,776,1017,1017,1068,1068,1
AL,Alabama,Bibb County,metro,1024,1024,1155,1155,1266,1266,1583,1583,1801,1801,1
AL,Alabama,Blount County,metro,1024,1024,1155,1155,1266,1266,1583,1583,1801,1801,1
AL,Alabama,Bullock County,nonmetro,576,576,708,708,776,776,930,930,1302,1302,1
AL,Alabama,Butler County,nonmetro,622,622,638,638,837,837,1004,1004,1139,1139,1
AL,Alabama,Calhoun County,metro,753,753,757,757,962,962,1300,1300,1361,1361,1
AL,Alabama,Chambers County,nonmetro,691,691,770,770,1002,1002,1265,1265,1327,1327,1
AL,Alabama,Cherokee County,nonmetro,627,627,682,682,844,844,1012,1012,1259,1259,1
AL,Alabama,Chilton County,metro,734,734,739,739,970,970,1274,1274,1448,1448,1
AL,Alabama,Choctaw County,nonmetro,578,578,616,616,778,778,1024,1024,1179,1179,1
AL,Alabama,Clarke County,nonmetro,588,588,603,603,791,791,1034,1034,1261,1261,1
AL,Alabama,Clay County,nonmetro,576,576,591,591,776,776,1024,1024,1027,1027,1
AL,Alabama,Cleburne County,nonmetro,644,644,687,687,867,867,1082,1082,1148,1148,1
AL,Alabama,Coffee County,nonmetro,693,693,711,711,933,933,1298,1298,1383,1383,1
AL,Alabama,Colbert County,metro,698,698,775,775,1000,1000,1242,1242,1409,1409,1
AL,Alabama,Conecuh County,nonmetro,576,576,615,615,776,776,1079,1079,1157,1157,1
AL,Alabama,Coosa County,nonmetro,576,576,615,615,776,776,1079,1079,1157,1157,1
AL,Alabama,Covington County,nonmetro,576,576,591,591,776,776,999,999,1302,1302,1
AL,Alabama,Crenshaw County,nonmetro,588,588,591,591,776,776,930,930,1027,1027,1
AL,Alabama,Cullman County,nonmetro,666,666,670,670,879,879,1137,1137,1381,1381,1
AL,Alabama,Dale County,nonmetro,603,603,690,690,776,776,1079,1079,1302,1302,1
AL,Alabama,Dallas County,nonmetro,620,620,637,637,836,836,1103,1103,1107,1107,1
AL,Alabama,DeKalb County,nonmetro,576,576,591,591,776,776,992,992,1302,1302,1
AL,Alabama,Elmore County,metro,860,860,870,870,1016,1016,1304,1304,1537,1537,1
AL,Alabama,Escambia County,nonmetro,576,576,675,675,776,776,972,972,1203,1203,1
AL,Alabama,Etowah County,metro,639,639,792,792,927,927,1124,1124,1304,1304,1
AL,Alabama,Fayette County,nonmetro,576,576,671,671,776,776,1079,1079,1157,1157,1
AL,Alabama,Franklin County,nonmetro,576,576,704,704,776,776,976,976,1071,1071,1
AL,Alabama,Geneva County,metro,757,757,762,762,950,950,1288,1288,1428,1428,1
AL,Alabama,Greene County,metro,863,863,869,869,1140,1140,1367,1367,1509,1509,1
AL,Alabama,Hale County,metro,966,966,972,972,1169,1169,1490,1490,1548,1548,1
AL,Alabama,Henry County,metro,665,665,669,669,878,878,1078,1078,1217,1217,1
AL,Alabama,Houston County,metro,757,757,762,762,950,950,1288,1288,1428,1428,1
AL,Alabama,Jackson County,nonmetro,576,576,643,643,776,776,1004,1004,1234,1234,1
AL,Alabama,Jefferson County,metro,1024,1024,1155,1155,1266,1266,1583,1583,1801,1801,1
AL,Alabama,Lamar County,nonmetro,618,618,636,636,776,776,1024,1024,1040,1040,1
AL,Alabama,Lauderdale County,metro,698,698,775,775,1000,1000,1242,1242,1409,1409,1
AL,Alabama,Lawrence County,metro,755,755,776,776,961,961,1262,1262,1550,1550,1
AL,Alabama,Lee County,metro,847,847,1077,1077,1181,1181,1494,1494,1699,1699,1
AL,Alabama,Limestone County,metro,1030,1030,1136,1136,1310,1310,1690,1690,2109,2109,1
AL,Alabama,Lowndes County,metro,860,860,870,870,1016,1016,1304,1304,1537,1537,1
AL,Alabama,Macon County,metro,720,720,758,758,995,995,1222,1222,1501,1501,1
AL,Alabama,Madison County,metro,1030,1030,1136,1136,1310,1310,1690,1690,2109,2109,1
AL,Alabama,Marengo County,nonmetro,582,582,693,693,783,783,1018,1018,1187,1187,1
AL,Alabama,Marion County,nonmetro,535,535,591,591,776,776,1039,1039,1302,1302,1
AL,Alabama,Marshall County,nonmetro,588,588,591,591,776,776,1069,1069,1073,1073,1
AL,Alabama,Mobile County,metro,854,854,919,919,1083,1083,1414,1414,1445,1445,1
AL,Alabama,Monroe County,nonmetro,576,576,619,619,776,776,1079,1079,1254,1254,1
AL,Alabama,Montgomery County,metro,860,860,870,870,1016,1016,1304,1304,1537,1537,1
AL,Alabama,Morgan County,metro,755,755,776,776,961,961,1262,1262,1550,1550,1
AL,Alabama,Perry County,nonmetro,596,596,636,636,803,803,963,963,1198,1198,1
AL,Alabama,Pickens County,metro,588,588,591,591,776,776,994,994,1290,1290,1
AL,Alabama,Pike County,nonmetro,677,677,695,695,912,912,1093,1093,1208,1208,1
AL,Alabama,Randolph County,nonmetro,536,536,634,634,778,778,980,980,1126,1126,1
AL,Alabama,Russell County,metro,895,895,939,939,1088,1088,1445,1445,1703,1703,1
AL,Alabama,Shelby County,metro,1024,1024,1155,1155,1266,1266,1583,1583,1801,1801,1
AL,Alabama,St. Clair County,metro,1024,1024,1155,1155,1266,1266,1583,1583,1801,1801,1
AL,Alabama,Sumter County,nonmetro,619,619,642,642,827,827,1107,1107,1193,1193,1
AL,Alabama,Talladega County,nonmetro,561,561,682,682,814,814,1107,1107,1112,1112,1
AL,Alabama,Tallapoosa County,nonmetro,637,637,663,663,857,857,1030,1030,1216,1216,1
AL,Alabama,Tuscaloosa County,metro,966,966,972,972,1169,1169,1490,1490,1548,1548,1
AL,Alabama,Walker County,metro,644,644,724,724,886,886,1232,1232,1481,1481,1
AL,Alabama,Washington County,nonmetro,729,729,818,818,983,983,1292,1292,1314,1314,1
AL,Alabama,Wilcox County,nonmetro,632,632,656,656,843,843,1079,1079,1261,1261,1
AL,Alabama,Winston County,nonmetro,576,576,631,631,776,776,1070,1070,1150,1150,1
AR,Arkansas,Arkansas County,nonmetro,670,670,703,703,922,922,1159,1159,1547,1547,1
AR,Arkansas,Ashley County,nonmetro,666,666,671,671,880,880,1055,1055,1476,1476,1
AR,Arkansas,Baxter County,nonmetro,730,730,735,735,964,964,1274,1274,1276,1276,1
AR,Arkansas,Benton County,metro,1007,1007,1115,1115,1347,1347,1873,1873,2213,2213,1
AR,Arkansas,Boone County,nonmetro,607,607,671,671,880,880,1224,1224,1343,1343,1
AR,Arkansas,Bradley County,nonmetro,630,630,710,710,880,880,1212,1212,1476,1476,1
AR,Arkansas,Calhoun County,nonmetro,724,724,771,771,1011,1011,1212,1212,1425,1425,1
AR,Arkansas,Carroll County,nonmetro,658,658,742,742,954,954,1144,1144,1345,1345,1
AR,Arkansas,Chicot County,nonmetro,630,630,671,671,880,880,1150,1150,1282,1282,1
AR,Arkansas,Clark County,nonmetro,730,730,731,731,880,880,1221,1221,1356,1356,1
AR,Arkansas,Clay County,nonmetro,658,658,671,671,880,880,1191,1191,1240,1240,1
AR,Arkansas,Cleburne County,nonmetro,684,684,735,735,955,955,1228,1228,1295,1295,1
AR,Arkansas,Cleveland County,nonmetro,630,630,671,671,880,880,1055,1055,1240,1240,1
AR,Arkansas,Columbia County,nonmetro,647,647,688,688,903,903,1191,1191,1196,1196,1
AR,Arkansas,Conway County,nonmetro,607,607,671,671,880,880,1224,1224,1448,1448,1
AR,Arkansas,Craighead County,metro,805,805,870,870,1040,1040,1402,1402,1480,1480,1
AR,Arkansas,Crawford County,metro,683,683,714,714,937,937,1266,1266,1532,1532,1
AR,Arkansas,Crittenden County,metro,1060,1060,1154,1154,1274,1274,1683,1683,1959,1959,1
AR,Arkansas,Cross County,nonmetro,630,630,671,671,880,880,1224,1224,1476,1476,1
AR,Arkansas,Dallas County,nonmetro,630,630,671,671,880,880,1207,1207,1240,1240,1
AR,Arkansas,Desha County,nonmetro,630,630,671,671,880,880,1208,1208,1476,1476,1
AR,Arkansas,Drew County,nonmetro,664,664,706,706,927,927,1224,1224,1227,1227,1
AR,Arkansas,Faulkner County,metro,984,984,989,989,1147,1147,1540,1540,1822,1822,1
AR,Arkansas,Franklin County,nonmetro,666,666,671,671,880,880,1094,1094,1476,1476,1
AR,Arkansas,Fulton County,nonmetro,630,630,746,746,880,880,1145,1145,1321,1321,1
AR,Arkansas,Garland County,metro,829,829,834,834,1090,1090,1393,1393,1670,1670,1
AR,Arkansas,Grant County,metro,795,795,800,800,968,968,1226,1226,1539,1539,1
AR,Arkansas,Greene County,nonmetro,648,648,772,772,905,905,1259,1259,1492,1492,1
AR,Arkansas,Hempstead County,nonmetro,650,650,692,692,908,908,1188,1188,1404,1404,1
AR,Arkansas,Hot Spring County,nonmetro,613,613,671,671,880,880,1155,1155,1282,1282,1
AR,Arkansas,Howard County,nonmetro,632,632,673,673,883,883,1059,1059,1272,1272,1
AR,Arkansas,Independence County,nonmetro,684,684,688,688,891,891,1175,1175,1180,1180,1
AR,Arkansas,Izard County,nonmetro,630,630,715,715,880,880,1202,1202,1476,1476,1
AR,Arkansas,Jackson County,nonmetro,630,630,671,671,880,880,1055,1055,1165,1165,1
AR,Arkansas,Jefferson County,nonmetro,697,697,728,728,937,937,1224,1224,1241,1241,1
AR,Arkansas,Johnson County,nonmetro,633,633,674,674,884,884,1083,1083,1246,1246,1
AR,Arkansas,Lafayette County,nonmetro,630,630,671,671,880,880,1055,1055,1240,1240,1
AR,Arkansas,Lawrence County,nonmetro,630,630,671,671,880,880,1089,1089,1375,1375,1
AR,Arkansas,Lee County,nonmetro,630,630,671,671,880,880,1224,1224,1240,1240,1
AR,Arkansas,Lincoln County,nonmetro,630,630,671,671,880,880,1224,1224,1240,1240,1
AR,Arkansas,Little River County,metro,666,666,671,671,880,880,1166,1166,1170,1170,1
AR,Arkansas,Logan County,nonmetro,607,607,803,803,880,880,1224,1224,1362,1362,1
AR,Arkansas,Lonoke County,metro,984,984,989,989,1147,1147,1540,1540,1822,1822,1
AR,Arkansas,Madison County,metro,1007,1007,1115,1115,1347,1347,1873,1873,2213,2213,1
AR,Arkansas,Marion County,nonmetro,650,650,692,692,908,908,1132,1132,1280,1280,1
AR,Arkansas,Miller County,metro,859,859,868,868,1101,1101,1369,1369,1657,1657,1
AR,Arkansas,Mississippi County,nonmetro,624,624,671,671,880,880,1161,1161,1165,1165,1
AR,Arkansas,Monroe County,nonmetro,660,660,671,671,880,880,1055,1055,1240,1240,1
AR,Arkansas,Montgomery County,nonmetro,630,630,803,803,880,880,1096,1096,1240,1240,1
AR,Arkansas,Nevada County,nonmetro,652,652,694,694,911,911,1092,1092,1284,1284,1
AR,Arkansas,Newton County,nonmetro,614,614,803,803,880,880,1055,1055,1476,1476,1
AR,Arkansas,Ouachita County,nonmetro,630,630,694,694,880,880,1133,1133,1240,1240,1
AR,Arkansas,Perry County,metro,984,984,989,989,1147,1147,1540,1540,1822,1822,1
AR,Arkansas,Phillips County,nonmetro,630,630,671,671,880,880,1224,1224,1407,1407,1
AR,Arkansas,Pike County,nonmetro,630,630,803,803,880,880,1224,1224,1274,1274,1
AR,Arkansas,Poinsett County,metro,681,681,685,685,880,880,1161,1161,1165,1165,1
AR,Arkansas,Polk County,nonmetro,642,642,703,703,897,897,1076,1076,1188,1188,1
AR,Arkansas,Pope County,nonmetro,647,647,715,715,938,938,1254,1254,1258,1258,1
AR,Arkansas,Prairie County,nonmetro,630,630,671,671,880,880,1150,1150,1240,1240,1
AR,Arkansas,Pulaski County,metro,984,984,989,989,1147,1147,1540,1540,1822,1822,1
AR,Arkansas,Randolph County,nonmetro,630,630,681,681,880,880,1224,1224,1282,1282,1
AR,Arkansas,Saline County,metro,984,984,989,989,1147,1147,1540,1540,1822,1822,1
AR,Arkansas,Scott County,nonmetro,630,630,671,671,880,880,1159,1159,1240,1240,1
AR,Arkansas,Searcy County,nonmetro,630,630,671,671,880,880,1224,1224,1240,1240,1
AR,Arkansas,Sebastian County,metro,683,683,714,714,937,937,1266,1266,1532,1532,1
AR,Arkansas,Sevier County,nonmetro,666,666,671,671,880,880,1097,1097,1210,1210,1
AR,Arkansas,Sharp County,nonmetro,659,659,671,671,880,880,1224,1224,1432,1432,1
AR,Arkansas,St. Francis County,nonmetro,661,661,703,703,923,923,1161,1161,1310,1310,1
AR,Arkansas,Stone County,nonmetro,651,651,693,693,909,909,1264,1264,1281,1281,1
AR,Arkansas,Union County,nonmetro,714,714,718,718,923,923,1111,1111,1301,1301,1
AR,Arkansas,Van Buren County,nonmetro,630,630,671,671,880,880,1186,1186,1240,1240,1
AR,Arkansas,Washington County,metro,1007,1007,1115,1115,1347,1347,1873,1873,2213,2213,1
AR,Arkansas,White County,nonmetro,630,630,734,734,880,880,1149,1149,1165,1165,1
AR,Arkansas,Woodruff County,nonmetro,630,630,803,803,880,880,1157,1157,1240,1240,1
AR,Arkansas,Yell County,nonmetro,687,687,692,692,880,880,1224,1224,1358,1358,1
AS,American Samoa,American Samoa,nonmetro,690,690,700,700,919,919,1278,1278,1542,1542,1
AZ,Arizona,Apache County,nonmetro,810,810,903,903,1175,1175,1599,1599,1828,1828,1
AZ,Arizona,Cochise County,metro,887,887,1111,1111,1257,1257,1748,1748,2109,2109,1
AZ,Arizona,Coconino County,metro,1597,1597,1727,1727,1921,1921,2343,2343,2568,2568,1
AZ,Arizona,Gila County,nonmetro,1120,1120,1127,1127,1479,1479,1871,1871,2170,2170,1
AZ,Arizona,Graham County,nonmetro,887,887,991,991,1244,1244,1669,1669,2087,2087,1
AZ,Arizona,Greenlee County,nonmetro,798,798,970,970,1158,1158,1388,1388,1738,1738,1
AZ,Arizona,La Paz County,nonmetro,873,873,879,879,1153,1153,1604,1604,1934,1934,1
AZ,Arizona,Maricopa County,metro,1457,1457,1583,1583,1839,1839,2452,2452,2720,2720,1
AZ,Arizona,Mohave County,metro,1053,1053,1060,1060,1365,1365,1897,1897,2090,2090,1
AZ,Arizona,Navajo County,nonmetro,937,937,1026,1026,1309,1309,1622,1622,1733,1733,1
AZ,Arizona,Pima County,metro,967,967,1081,1081,1402,1402,1950,1950,2245,2245,1
AZ,Arizona,Pinal County,metro,1457,1457,1583,1583,1839,1839,2452,2452,2720,2720,1
AZ,Arizona,Santa Cruz County,nonmetro,778,778,860,860,1129,1129,1570,1570,1615,1615,1
AZ,Arizona,Yavapai County,metro,1129,1129,1309,1309,1637,1637,2277,2277,2497,2497,1
AZ,Arizona,Yuma County,metro,1046,1046,1053,1053,1382,1382,1892,1892,2318,2318,1
CA,California,Alameda County,metro,2142,2142,2385,2385,2912,2912,3724,3724,4413,4413,1
CA,California,Alpine County,nonmetro,1068,1068,1165,1165,1529,1529,2126,2126,2527,2527,1
CA,California,Amador County,nonmetro,1387,1387,1396,1396,1698,1698,2220,2220,2714,2714,1
CA,California,Butte County,metro,1155,1155,1270,1270,1625,1625,2260,2260,2726,2726,1
CA,California,Calaveras County,nonmetro,1078,1078,1175,1175,1542,1542,2145,2145,2316,2316,1
