state,state_name,county,metro,fmr_0br_median,fmr_0br_max,fmr_1br_median,fmr_1br_max,fmr_2br_median,fmr_2br_max,fmr_3br_median,fmr_3br_max,fmr_4br_median,fmr_4br_max,area_rows
AK,Alaska,Aleutians East Borough,nonmetro,993,993,1263,1263,1385,1385,1661,1661,2281,2281,1
AK,Alaska,Aleutians West Census Area,nonmetro,1571,1571,1670,1670,2191,2191,2652,2652,2901,2901,1
AK,Alaska,Anchorage Municipality,metro,1152,1152,1243,1243,1631,1631,2268,2268,2736,2736,1
AK,Alaska,Bethel Census Area,nonmetro,1688,1688,1719,1719,1938,1938,2324,2324,2566,2566,1
AK,Alaska,Bristol Bay Borough,nonmetro,891,891,1134,1134,1243,1243,1729,1729,2047,2047,1
AK,Alaska,Chugach Census Area,nonmetro,1038,1038,1374,1374,1506,1506,2094,2094,2526,2526,1
AK,Alaska,Copper River Census Area,nonmetro,810,810,930,930,1130,1130,1572,1572,1896,1896,1
AK,Alaska,Denali Borough,nonmetro,851,851,935,935,1187,1187,1651,1651,1955,1955,1
AK,Alaska,Dillingham Census Area,nonmetro,894,894,1138,1138,1247,1247,1734,1734,2054,2054,1
AK,Alaska,Fairbanks North Star Borough,metro,1156,1156,1277,1277,1676,1676,2331,2331,2812,2812,1
AK,Alaska,Haines Borough,nonmetro,945,945,1033,1033,1321,1321,1771,1771,2088,2088,1
AK,Alaska,Hoonah-Angoon Census Area,nonmetro,1007,1007,1113,1113,1460,1460,1751,1751,1933,1933,1
AK,Alaska,Juneau City and Borough,nonmetro,1212,1212,1340,1340,1758,1758,2368,2368,2679,2679,1
AK,Alaska,Kenai Peninsula Borough,nonmetro,993,993,1000,1000,1312,1312,1825,1825,2201,2201,1
AK,Alaska,Ketchikan Gateway Borough,nonmetro,1120,1120,1238,1238,1625,1625,2260,2260,2726,2726,1
AK,Alaska,Kodiak Island Borough,nonmetro,1431,1431,1581,1581,2075,2075,2488,2488,2747,2747,1
AK,Alaska,Kusilvak Census Area,nonmetro,698,698,767,767,973,973,1353,1353,1602,1602,1
AK,Alaska,Lake and Peninsula Borough,nonmetro,739,739,894,894,1030,1030,1391,1391,1596,1596,1
AK,Alaska,Matanuska-Susitna Borough,metro,1015,1015,1049,1049,1376,1376,1914,1914,2308,2308,1
AK,Alaska,Nome Census Area,nonmetro,1227,1227,1334,1334,1533,1533,2132,2132,2525,2525,1
AK,Alaska,North Slope Borough,nonmetro,1115,1115,1239,1239,1625,1625,1958,1958,2664,2664,1
AK,Alaska,Northwest Arctic Borough,nonmetro,1331,1331,1471,1471,1930,1930,2547,2547,2676,2676,1
