metro_code,metro_name,state,zip_count,fmr_0br_median,fmr_1br_median,fmr_2br_median,fmr_3br_median,fmr_4br_median
METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",DC,488,2080,2170,2400,3060,3600
METRO31080MM4480,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",CA,474,2150,2400,2960,3760,4200
METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",PA,473,1460,1580,1900,2280,2500
METRO35620MM5600,"New York, NY HUD Metro FMR Area",NY,410,2865,3010,3295,4155,4550
METRO38300M38300,"Pittsburgh, PA HUD Metro FMR Area",PA,393,950,1020,1230,1570,1700
METRO16980M16980,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",IL,370,1650,1750,2010,2580,2940
METRO26420M26420,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",TX,327,1210,1240,1470,1980,2460
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",GA,299,1560,1630,1770,2110,2500
METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",MO,268,970,1010,1230,1580,1820
METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX,260,1420,1460,1720,2170,2750
METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",MA,259,2250,2340,2820,3360,3710
METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",MO,252,1190,1290,1460,1910,2280
METRO19820M19820,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",MI,250,1050,1170,1460,1780,1930
METRO33460M33460,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",MN,246,1210,1370,1665,2180,2440
METRO38060M38060,"Phoenix-Mesa-Chandler, AZ MSA",AZ,225,1400,1500,1740,2300,2550
METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",CA,217,1560,1650,2040,2690,3240
METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",FL,208,1610,1660,1930,2470,3000
METRO12580M12580,"Baltimore-Columbia-Towson, MD MSA",MD,191,1570,1680,2070,2610,2910
METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",NY,190,2010,2345,2740,3520,3740
METRO17140M17140,"Cincinnati, OH-KY-IN HUD Metro FMR Area",OH,184,1010,1080,1380,1820,2050
METRO19740M19740,"Denver-Aurora-Centennial, CO MSA",CO,182,1740,1820,2150,2820,3160
