metro_code,metro_name,state,zip_count,fmr_0br_median,fmr_1br_median,fmr_2br_median,fmr_3br_median,fmr_4br_median
METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",CA,23,3230,3390,4250,5530,5740
METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",CA,113,2500,2920,3590,4690,5280
METRO35620MM5600,"New York, NY HUD Metro FMR Area",NY,410,2865,3010,3295,4155,4550
METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",CA,106,2460,2780,3270,4390,4690
METRO34900M34900,"Napa, CA MSA",CA,16,2230,2450,3200,4035,4835
METRO42200M42200,"Santa Maria-Santa Barbara, CA MSA",CA,41,2480,2710,3110,4000,4560
METRO31080MM5945,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",CA,147,2580,2610,3060,4160,4970
METRO41940N06069,"San Benito County, CA HUD Metro FMR Area",CA,9,2280,2290,3000,4150,4550
METRO31080MM4480,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",CA,474,2150,2400,2960,3760,4200
METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",MA,259,2250,2340,2820,3360,3710
METRO41740M41740,"San Diego-Chula Vista-Carlsbad, CA MSA",CA,178,2190,2330,2820,3740,4520
METRO42220M42220,"Santa Rosa-Petaluma, CA MSA",CA,53,1980,2160,2820,3900,4300
METRO14460MM4560,"Lowell, MA HUD Metro FMR Area",MA,27,2080,2250,2810,3350,3690
METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",CA,115,2090,2290,2810,3600,4260
METRO35620MM3640,"Jersey City, NJ HUD Metro FMR Area",NJ,20,2460,2510,2790,3390,3970
METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",NY,190,2010,2345,2740,3520,3740
METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",CA,41,1890,2080,2720,3630,4210
METRO27980M27980,"Kahului-Wailuku-Lahaina, HI HUD Metro FMR Area",HI,18,1850,2030,2660,3360,4150
METRO14460MM1200,"Brockton, MA HUD Metro FMR Area",MA,30,1900,2090,2650,3180,3510
METRO49340MM1120,"Eastern Worcester County, MA HUD Metro FMR Area",MA,20,2130,2205,2650,3390,3755
METRO35620MM5015,"Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area",NJ,114,1940,2080,2600,3115,3505
METRO42660MM7600,"Seattle-Bellevue, WA HUD Metro FMR Area",WA,153,2130,2220,2600,3390,4030
METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",FL,120,1950,2120,2560,3270,3740
METRO46520M46520,"Urban Honolulu, HI MSA",HI,60,1830,1950,2540,3520,4250
METRO14860M14860,"Bridgeport-Stamford-Danbury, CT MSA",CT,67,1760,2180,2530,3030,3770
METRO46700M46700,"Vallejo, CA MSA",CA,23,1860,1960,2510,3340,3640
METRO12700M12700,"Barnstable Town, MA MSA",MA,56,1890,1900,2490,3120,3720
METRO39300MM1200,"Easton-Raynham, MA HUD Metro FMR Area",MA,8,1790,1980,2470,2940,3355
METRO41500M41500,"Salinas, CA MSA",CA,38,1970,2050,2470,3325,3690
METRO39300N44005,"Newport-Middleton-Portsmouth, RI HUD Metro FMR Area",RI,6,1870,1885,2465,3270,3915
METRO35620MM5640,"Newark, NJ HUD Metro FMR Area",NJ,161,1800,2040,2460,3070,3510
METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",CA,54,1830,2040,2430,3290,3820
METRO35620MM0875,"Bergen-Passaic, NJ HUD Metro FMR Area",NJ,114,1860,2090,2410,2925,3670
METRO14460MM4160,"Lawrence, MA-NH HUD Metro FMR Area",MA,44,1725,1855,2400,2905,3155
METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",DC,488,2080,2170,2400,3060,3600
METRO39300MM1120,"Taunton-Mansfield-Norton, MA HUD Metro FMR Area",MA,14,1765,1855,2365,2825,3355
METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",FL,73,1910,2010,2350,3050,3520
METRO38860MM6400,"Portland, ME HUD Metro FMR Area",ME,45,1630,1850,2340,2890,3080
METRO27980N15005,"Kalawao County, HI HUD Metro FMR Area",HI,1,1630,1780,2330,2940,3640
METRO35620MM5190,"Monmouth-Ocean, NJ HUD Metro FMR Area",NJ,90,1710,1880,2330,2990,3310
METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",FL,87,1760,1900,2320,3170,3660
METRO35840M35840,"North Port-Bradenton-Sarasota, FL MSA",FL,63,1830,1960,2290,2900,3460
METRO10900MM5640,"Warren County, NJ HUD Metro FMR Area",NJ,24,1715,1830,2265,2745,3120
METRO38860MM6450,"York-Kittery-South Berwick, ME HUD Metro FMR Area",ME,12,1570,1720,2250,2690,3330
METRO45940M45940,"Trenton-Princeton, NJ MSA",NJ,36,1565,1765,2245,2740,3080
METRO14460MM4760,"Western Rockingham County, NH HUD Metro FMR Area",NH,15,1580,1700,2220,2800,2980
METRO31700MM4760,"Manchester, NH HUD Metro FMR Area",NH,15,1520,1670,2180,2670,2870
METRO28880M28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY MSA",NY,100,1510,1690,2170,2730,2880
METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",CA,130,1720,1770,2170,2860,3295
METRO31700MM5350,"Nashua, NH HUD Metro FMR Area",NH,20,1500,1710,2160,2770,3030
