game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
1999_01_MIN_ATL,1999,REG,1,1999-09-12,Sunday,,MIN,17,ATL,14,Home,-3,31,0,1999091210,598,,199909120atl,,190912001,,7,7,,,-4,,,49,,,0,dome,astroturf,,,00-0003761,00-0002876,Randall Cunningham,Chris Chandler,Dennis Green,Dan Reeves,Gerry Austin,ATL00,Georgia Dome
1999_01_KC_CHI,1999,REG,1,1999-09-12,Sunday,,KC,17,CHI,20,Home,3,37,0,1999091206,597,,199909120chi,,190912003,,7,7,,,-3,,,38,,,0,outdoors,grass,80,12,00-0006300,00-0010560,Elvis Grbac,Shane Matthews,Gunther Cunningham,Dick Jauron,Phil Luckett,CHI98,Soldier Field
1999_01_PIT_CLE,1999,REG,1,1999-09-12,Sunday,,PIT,43,CLE,0,Home,-43,43,0,1999091213,604,,199909120cle,,190912005,,7,7,,,-6,,,37,,,1,outdoors,grass,78,12,00-0015700,00-0004230,Kordell Stewart,Ty Detmer,Bill Cowher,Chris Palmer,Bob McElwee,CLE00,Cleveland Browns Stadium
1999_01_OAK_GB,1999,REG,1,1999-09-12,Sunday,,OAK,24,GB,28,Home,4,52,0,1999091208,602,,199909120gnb,,190912009,,7,7,,,9,,,43,,,0,outdoors,grass,67,10,00-0005741,00-0005106,Rich Gannon,Brett Favre,Jon Gruden,Ray Rhodes,Tony Corrente,GNB00,Lambeau Field
1999_01_BUF_IND,1999,REG,1,1999-09-12,Sunday,,BUF,14,IND,31,Home,17,45,0,1999091202,591,,199909120clt,,190912011,,7,7,,,-3,,,45.5,,,1,dome,astroturf,,,00-0005363,00-0010346,Doug Flutie,Peyton Manning,Wade Phillips,Jim Mora,Ron Blum,IND99,RCA Dome
1999_01_SF_JAX,1999,REG,1,1999-09-12,Sunday,,SF,3,JAX,41,Home,38,44,0,1999091212,603,,199909120jax,,190912030,,7,7,,,5.5,,,49,,,0,outdoors,grass,76,8,00-0018441,00-0002110,Steve Young,Mark Brunell,Steve Mariucci,Tom Coughlin,Bernie Kukar,JAX00,Alltel Stadium
1999_01_CAR_NO,1999,REG,1,1999-09-12,Sunday,,CAR,10,NO,19,Home,9,29,0,1999091203,592,,199909120nor,,190912018,,7,7,,,3.5,,,38,,,1,dome,astroturf,,,00-0001218,00-0007530,Steve Beuerlein,Billy Joe Hobert,George Seifert,Mike Ditka,Larry Nemmers,NOR00,Louisiana Superdome
1999_01_NE_NYJ,1999,REG,1,1999-09-12,Sunday,,NE,30,NYJ,28,Home,-2,58,0,1999091207,600,,199909120nyj,,190912020,,7,7,,,7,,,44.5,,,1,outdoors,astroturf,73,5,00-0001361,00-0016193,Drew Bledsoe,Vinny Testaverde,Pete Carroll,Bill Parcells,Bill Carollo,NYC00,Giants Stadium
1999_01_ARI_PHI,1999,REG,1,1999-09-12,Sunday,,ARI,25,PHI,24,Home,-1,49,0,1999091200,588,,199909120phi,,190912021,,7,7,,,-3,,,37,,,1,outdoors,astroturf,75,3,00-0013042,00-0012726,Jake Plummer,Doug Pederson,Vince Tobin,Andy Reid,Ron Winter,PHI99,Veterans Stadium
1999_01_DET_SEA,1999,REG,1,1999-09-12,Sunday,,DET,28,SEA,20,Home,-8,48,0,1999091209,596,,199909120sea,,190912026,,7,7,,,9.5,,,42,,,0,dome,astroturf,,,00-0000865,00-0009311,Charlie Batch,Jon Kitna,Bobby Ross,Mike Holmgren,Dick Hantak,SEA98,Seattle Kingdome
1999_01_BAL_STL,1999,REG,1,1999-09-12,Sunday,,BAL,10,STL,27,Home,17,37,0,1999091201,589,,199909120ram,,190912014,,7,7,,,0,,,39,,,0,dome,astroturf,,,00-0011434,00-0017200,Scott Mitchell,Kurt Waner,Brian Billick,Dick Vermeil,Tom White,STL00,TWA Dome
1999_01_NYG_TB,1999,REG,1,1999-09-12,Sunday,,NYG,17,TB,13,Home,-4,30,0,1999091211,601,,199909120tam,,190912027,,7,7,,,5.5,,,37.5,,,0,outdoors,grass,88,8,00-0006212,00-0004293,Kent Graham,Trent Dilfer,Jim Fassel,Tony Dungy,Ed Hochuli,TAM00,Raymond James Stadium
1999_01_CIN_TEN,1999,REG,1,1999-09-12,Sunday,,CIN,35,TEN,36,Home,1,71,0,1999091204,594,,199909120oti,,190912010,,7,7,,,9,,,42,,,1,outdoors,grass,84,10,00-0001335,00-0011024,Jeff Blake,Steve McNair,Bruce Coslet,Jeff Fisher,Mike Carey,NAS00,Adelphia Coliseum
1999_01_DAL_WAS,1999,REG,1,1999-09-12,Sunday,,DAL,41,WAS,35,Home,-6,76,1,1999091205,595,,199909120was,,190912028,,7,7,,,2.5,,,42,,,1,outdoors,grass,71,0,00-0000104,00-0008442,Troy Aikman,Brad Johnson,Chan Gailey,Norv Turner,Walt Coleman,WAS00,Jack Kent Cooke Stadium
1999_01_MIA_DEN,1999,REG,1,1999-09-13,Monday,,MIA,38,DEN,21,Home,-17,59,0,1999091300,605,,199909130den,,190913007,,7,7,,,6,,,43,,,0,outdoors,grass,60,5,00-0010379,00-0006423,Dan Marino,Brian Griese,Jimmy Johnson,Mike Shanahan,Johnny Grier,DEN99,Mile High Stadium
1999_02_PIT_BAL,1999,REG,2,1999-09-19,Sunday,,PIT,23,BAL,20,Home,-3,43,0,1999091905,614,,199909190rav,,190919033,,7,7,,,-2.5,,,38,,,1,outdoors,grass,74,7,00-0015700,00-0011434,Kordell Stewart,Scott Mitchell,Bill Cowher,Brian Billick,Gerry Austin,BAL00,PSINet Stadium
