season,games_played,avg_home_points,avg_away_points,avg_total_points,home_win_pct,ties,games_with_spread,favorite_cover_pct,underdog_cover_pct,spread_push_count,games_with_total,over_pct,under_pct,total_push_count
1999,259,22.46,19.22,41.68,0.598,0,259,0.47,0.53,10,259,0.488,0.512,1
2000,259,22.07,19.03,41.09,0.564,0,259,0.476,0.524,7,259,0.478,0.522,6
2001,259,21.36,19.19,40.54,0.556,0,259,0.466,0.534,12,259,0.49,0.51,4
2002,267,23.12,20.54,43.66,0.588,1,267,0.443,0.557,5,267,0.511,0.489,3
2003,267,22.69,19.1,41.79,0.614,0,267,0.496,0.504,9,267,0.475,0.525,4
2004,267,22.9,20.25,43.15,0.566,0,267,0.502,0.498,6,267,0.492,0.508,3
2005,267,22.31,18.79,41.1,0.584,0,267,0.588,0.412,10,267,0.456,0.544,6
2006,267,21.26,20.25,41.51,0.539,0,267,0.436,0.564,8,267,0.508,0.492,13
2007,267,23.16,20.23,43.39,0.569,0,267,0.508,0.492,5,267,0.542,0.458,7
2008,267,23.18,20.84,44.03,0.566,1,267,0.49,0.51,6,267,0.504,0.496,9
2009,267,22.78,20.38,43.16,0.573,0,267,0.486,0.514,8,267,0.477,0.523,5
2010,267,23.0,21.32,44.32,0.554,0,267,0.492,0.508,5,267,0.561,0.439,5
2011,267,23.98,20.51,44.49,0.573,0,267,0.488,0.512,11,267,0.504,0.496,3
2012,267,24.11,21.67,45.78,0.569,1,267,0.481,0.519,5,267,0.502,0.498,2
2013,267,24.89,21.98,46.87,0.596,1,267,0.535,0.465,7,267,0.521,0.479,4
2014,267,23.96,21.31,45.27,0.573,1,267,0.479,0.521,6,267,0.47,0.53,3
2015,267,23.53,21.93,45.46,0.543,0,267,0.459,0.541,10,267,0.473,0.527,5
2016,267,24.36,21.37,45.74,0.581,2,267,0.523,0.477,5,267,0.534,0.466,1
2017,267,23.1,20.52,43.63,0.569,0,267,0.517,0.483,8,267,0.468,0.532,0
2018,267,24.34,22.21,46.55,0.592,2,267,0.457,0.543,9,267,0.47,0.53,3
2019,267,22.87,22.83,45.7,0.521,1,267,0.467,0.533,10,267,0.496,0.504,1
2020,269,24.83,24.66,49.49,0.498,1,269,0.442,0.558,0,269,0.508,0.492,5
2021,285,24.0,22.07,46.07,0.516,1,285,0.466,0.534,4,285,0.457,0.543,3
2022,284,23.06,20.97,44.03,0.563,2,284,0.453,0.547,10,284,0.445,0.555,3
2023,285,23.36,20.44,43.8,0.565,0,285,0.52,0.48,14,285,0.463,0.537,4
2024,285,24.15,21.87,46.02,0.547,0,285,0.527,0.473,4,285,0.539,0.461,3
2025,285,23.99,21.96,45.96,0.533,1,285,0.486,0.514,1,285,0.519,0.481,0
