soc_code,title,onet_code,onet_title,job_zone,wages_median,wages_median_hourly,total_employment,soc_row_count,wage_repeated,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_count
11-1011,Chief Executives,11-1011.00,Chief Executives,5,213990,102.88,204350,2,Y,Judgment and Decision Making,Complex Problem Solving,Critical Thinking,Coordination,Management of Financial Resources,Management of Personnel Resources,Speaking,Systems Evaluation,8
11-9121,Natural Sciences Managers,11-9121.00,Natural Sciences Managers,5,167220,80.39,108690,3,Y,Science,Active Listening,Critical Thinking,Monitoring,Reading Comprehension,Complex Problem Solving,Speaking,Writing,8
13-1131,Fundraisers,13-1131.00,Fundraisers,4,72550,34.88,111040,1,N,Speaking,Active Listening,Persuasion,Reading Comprehension,Writing,Critical Thinking,Negotiation,Coordination,8
15-1253,Software Quality Assurance Analysts and Testers,15-1253.00,Software Quality Assurance Analysts and Testers,4,104300,50.14,186740,1,N,Reading Comprehension,Active Listening,Critical Thinking,Speaking,Writing,Monitoring,Programming,Complex Problem Solving,8
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",4,115160,55.36,21450,2,Y,Reading Comprehension,Active Listening,Critical Thinking,Writing,Complex Problem Solving,Judgment and Decision Making,Speaking,Systems Analysis,8
17-3031,Surveying and Mapping Technicians,17-3031.00,Surveying and Mapping Technicians,3,54240,26.08,58010,1,N,Reading Comprehension,Critical Thinking,Complex Problem Solving,Mathematics,Active Listening,Monitoring,Time Management,Judgment and Decision Making,8
19-3041,Sociologists,19-3041.00,Sociologists,5,106030,50.98,2260,1,N,Active Listening,Speaking,Active Learning,Critical Thinking,Reading Comprehension,Writing,Learning Strategies,Social Perceptiveness,8
21-2011,Clergy,21-2011.00,Clergy,5,60810,29.24,57200,1,N,Speaking,Active Listening,Social Perceptiveness,Instructing,Service Orientation,Judgment and Decision Making,Persuasion,Reading Comprehension,8
25-1124,"Foreign Language and Literature Teachers, Postsecondary",25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",5,79350,,19830,1,N,Speaking,Active Listening,Instructing,Learning Strategies,Reading Comprehension,Writing,Active Learning,Critical Thinking,8
27-1014,Special Effects Artists and Animators,27-1014.00,Special Effects Artists and Animators,4,102030,49.06,19970,1,N,Active Listening,Critical Thinking,Reading Comprehension,Speaking,Active Learning,Judgment and Decision Making,Writing,Complex Problem Solving,8
27-4099,"Media and Communication Equipment Workers, All Other",27-4099.00,"Media and Communication Equipment Workers, All Other",,70720,34,12450,1,N,,,,,,,,,0
29-1218,Obstetricians and Gynecologists,29-1218.00,Obstetricians and Gynecologists,5,292910,140.82,21260,1,N,Critical Thinking,Reading Comprehension,Active Learning,Active Listening,Complex Problem Solving,Judgment and Decision Making,Monitoring,Speaking,8
29-2061,Licensed Practical and Licensed Vocational Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses,3,64400,30.96,648410,1,N,Service Orientation,Coordination,Social Perceptiveness,Active Listening,Monitoring,Speaking,Critical Thinking,Reading Comprehension,8
33-2021,Fire Inspectors and Investigators,33-2021.00,Fire Inspectors and Investigators,3,75920,36.5,13800,1,N,Active Listening,Critical Thinking,Speaking,Writing,Reading Comprehension,Social Perceptiveness,Instructing,Monitoring,8
