city,theme,count,osm_license
Berlin,water fountains,265,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Amsterdam,water fountains,540,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Paris,water fountains,1045,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Madrid,water fountains,2058,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Warsaw,water fountains,122,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Berlin,public bookcases,114,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Amsterdam,public bookcases,0,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Paris,public bookcases,165,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Madrid,public bookcases,9,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Warsaw,public bookcases,33,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Berlin,bike repair stations,71,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Amsterdam,bike repair stations,4,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Paris,bike repair stations,52,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Madrid,bike repair stations,3,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Warsaw,bike repair stations,188,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
