entity,iso3,year,life_expectancy_years
Japan,JPN,2024,84.04
Italy,ITA,2024,83.95
"Korea, Rep.",KOR,2024,83.63
Australia,AUS,2024,83.05
France,FRA,2024,82.98
Canada,CAN,2024,82.11
European Union,EUU,2024,81.56
United Kingdom,GBR,2024,81.39
Germany,DEU,2024,80.79
Saudi Arabia,SAU,2024,78.98
United States,USA,2024,78.89
China,CHN,2024,78.02
Argentina,ARG,2024,77.54
Turkiye,TUR,2024,77.42
Brazil,BRA,2024,76.02
Mexico,MEX,2024,75.26
Russian Federation,RUS,2024,73.44
India,IND,2024,72.23
Indonesia,IDN,2024,71.29
South Africa,ZAF,2024,66.31
