entity,iso3,year,life_expectancy_years
Argentina,ARG,1960,64.24
Argentina,ARG,1961,64.63
Argentina,ARG,1962,64.62
Argentina,ARG,1963,64.86
Argentina,ARG,1964,64.82
Argentina,ARG,1965,65.05
Argentina,ARG,1966,65.4
Argentina,ARG,1967,65.47
Argentina,ARG,1968,65.23
Argentina,ARG,1969,65.08
Argentina,ARG,1970,65.65
Argentina,ARG,1971,65.62
Argentina,ARG,1972,65.95
Argentina,ARG,1973,66.19
Argentina,ARG,1974,66.41
Argentina,ARG,1975,66.97
Argentina,ARG,1976,67.03
Argentina,ARG,1977,67.59
Argentina,ARG,1978,68.0
Argentina,ARG,1979,68.43
Argentina,ARG,1980,68.58
Argentina,ARG,1981,68.86
Argentina,ARG,1982,68.97
Argentina,ARG,1983,69.29
Argentina,ARG,1984,69.35
Argentina,ARG,1985,69.88
Argentina,ARG,1986,70.28
Argentina,ARG,1987,70.7
Argentina,ARG,1988,71.1
Argentina,ARG,1989,71.5
Argentina,ARG,1990,71.61
Argentina,ARG,1991,72.02
Argentina,ARG,1992,72.1
Argentina,ARG,1993,72.3
Argentina,ARG,1994,72.73
Argentina,ARG,1995,72.86
Argentina,ARG,1996,73.06
Argentina,ARG,1997,73.41
Argentina,ARG,1998,73.41
Argentina,ARG,1999,73.68
Argentina,ARG,2000,73.91
Argentina,ARG,2001,74.15
Argentina,ARG,2002,74.31
Argentina,ARG,2003,74.31
Argentina,ARG,2004,74.87
Argentina,ARG,2005,75.23
Argentina,ARG,2006,75.28
Argentina,ARG,2007,74.78
Argentina,ARG,2008,75.43
Argentina,ARG,2009,75.58
Argentina,ARG,2010,75.68
Argentina,ARG,2011,76.1
Argentina,ARG,2012,75.8
Argentina,ARG,2013,75.83
Argentina,ARG,2014,76.27
Argentina,ARG,2015,76.6
Argentina,ARG,2016,76.11
Argentina,ARG,2017,76.54
Argentina,ARG,2018,76.77
Argentina,ARG,2019,76.85
Argentina,ARG,2020,75.88
Argentina,ARG,2021,73.95
Argentina,ARG,2022,75.81
Argentina,ARG,2023,77.39
Argentina,ARG,2024,77.54
Australia,AUS,1960,70.82
Australia,AUS,1961,70.97
Australia,AUS,1962,70.94
Australia,AUS,1963,70.91
Australia,AUS,1964,70.88
Australia,AUS,1965,70.85
Australia,AUS,1966,70.82
Australia,AUS,1967,70.87
Australia,AUS,1968,70.92
Australia,AUS,1969,70.97
Australia,AUS,1970,71.02
Australia,AUS,1971,71.07
Australia,AUS,1972,71.46
Australia,AUS,1973,71.85
Australia,AUS,1974,72.24
Australia,AUS,1975,72.63
Australia,AUS,1976,73.01
Australia,AUS,1977,73.34
Australia,AUS,1978,73.67
Australia,AUS,1979,74.0
Australia,AUS,1980,74.33
Australia,AUS,1981,74.66
Australia,AUS,1982,74.9
Australia,AUS,1983,75.15
Australia,AUS,1984,75.39
Australia,AUS,1985,75.63
Australia,AUS,1986,75.87
Australia,AUS,1987,76.15
Australia,AUS,1988,76.43
Australia,AUS,1989,76.71
Australia,AUS,1990,76.99
Australia,AUS,1991,77.28
Australia,AUS,1992,77.38
Australia,AUS,1993,77.88
Australia,AUS,1994,77.88
Australia,AUS,1995,77.83
Australia,AUS,1996,78.08
Australia,AUS,1997,78.48
Australia,AUS,1998,78.63
Australia,AUS,1999,78.93
Australia,AUS,2000,79.23
Australia,AUS,2001,79.63
Australia,AUS,2002,79.94
Australia,AUS,2003,80.24
Australia,AUS,2004,80.49
Australia,AUS,2005,80.84
Australia,AUS,2006,81.04
Australia,AUS,2007,81.29
Australia,AUS,2008,81.4
Australia,AUS,2009,81.54
Australia,AUS,2010,81.7
Australia,AUS,2011,81.9
Australia,AUS,2012,82.05
Australia,AUS,2013,82.15
Australia,AUS,2014,82.3
Australia,AUS,2015,82.4
Australia,AUS,2016,82.45
Australia,AUS,2017,82.5
Australia,AUS,2018,82.75
Australia,AUS,2019,82.9
Australia,AUS,2020,83.2
Australia,AUS,2021,83.3
Australia,AUS,2022,83.2
Australia,AUS,2023,83.05
Australia,AUS,2024,83.05
Brazil,BRA,1960,53.16
Brazil,BRA,1961,53.59
Brazil,BRA,1962,54.02
Brazil,BRA,1963,54.45
Brazil,BRA,1964,54.85
Brazil,BRA,1965,55.24
Brazil,BRA,1966,55.62
