entity,iso3,year,life_expectancy_years
Argentina,ARG,1960,64.24
Argentina,ARG,1961,64.63
Argentina,ARG,1962,64.62
Argentina,ARG,1963,64.86
Argentina,ARG,1964,64.82
Argentina,ARG,1965,65.05
Argentina,ARG,1966,65.4
Argentina,ARG,1967,65.47
Argentina,ARG,1968,65.23
Argentina,ARG,1969,65.08
Argentina,ARG,1970,65.65
Argentina,ARG,1971,65.62
Argentina,ARG,1972,65.95
Argentina,ARG,1973,66.19
Argentina,ARG,1974,66.41
Argentina,ARG,1975,66.97
Argentina,ARG,1976,67.03
Argentina,ARG,1977,67.59
Argentina,ARG,1978,68.0
Argentina,ARG,1979,68.43
