entity,iso3,year,population
India,IND,2025,1463865525
China,CHN,2025,1406585000
European Union,EUU,2025,451127411
United States,USA,2025,341784857
Indonesia,IDN,2025,285721236
Brazil,BRA,2025,212812405
Russian Federation,RUS,2025,143513328
Mexico,MEX,2025,131946900
Japan,JPN,2025,123366734
Turkiye,TUR,2025,85878556
Germany,DEU,2025,83491249
United Kingdom,GBR,2025,69487000
France,FRA,2025,68720337
South Africa,ZAF,2025,64747319
Italy,ITA,2025,58915656
"Korea, Rep.",KOR,2025,51684564
Argentina,ARG,2025,45851378
Canada,CAN,2025,41651653
Saudi Arabia,SAU,2025,36973555
Australia,AUS,2025,27614411
