entity,iso3,year,population
Argentina,ARG,1960,20386045
Argentina,ARG,1961,20726276
Argentina,ARG,1962,21072538
Argentina,ARG,1963,21421705
Argentina,ARG,1964,21769453
Argentina,ARG,1965,22112629
Argentina,ARG,1966,22453893
Argentina,ARG,1967,22799059
Argentina,ARG,1968,23150583
Argentina,ARG,1969,23508711
Argentina,ARG,1970,23878327
Argentina,ARG,1971,24257208
Argentina,ARG,1972,24644328
Argentina,ARG,1973,25046005
Argentina,ARG,1974,25461351
Argentina,ARG,1975,25874107
Argentina,ARG,1976,26282283
Argentina,ARG,1977,26701805
Argentina,ARG,1978,27132158
Argentina,ARG,1979,27568895
