entity,iso3,rural_pct
India,IND,64.310844227604
Indonesia,IDN,40.6070936030016
South Africa,ZAF,36.1845988997478
China,CHN,33.6570089651728
Italy,ITA,30.319138198322
European Union,EUU,24.8261389416855
Russian Federation,RUS,24.7493363391785
France,FRA,21.1550349436416
Mexico,MEX,19.9591069370277
United States,USA,19.8078266972131
"Korea, Rep.",KOR,18.8259736693326
Germany,DEU,17.86177794638
Canada,CAN,17.1242979746114
United Kingdom,GBR,16.676391921729
Saudi Arabia,SAU,15.3876878937815
Australia,AUS,12.2807327333667
Brazil,BRA,11.8227003512102
Turkiye,TUR,10.505939997814
Japan,JPN,7.6998550579214
Argentina,ARG,7.64807783848271
