prefix,states,zips,median_2br,min_2br,max_2br
00,PR,216,610,520,1060
01,MA,441,2090,1440,4510
02,MA RI,415,2650,1560,4510
03,MA ME NH,357,1980,1160,3550
04,ME,535,1480,1110,3440
05,VT,367,1630,1070,2670
06,CT NY,432,1930,1290,3600
07,NJ,390,2460,1200,4190
08,NJ PA,370,2180,1380,3400
10,NY,323,3330,1790,4460
11,NY,311,2910,2480,4460
12,NY,645,1540,1010,3010
13,NY,557,1260,1010,2240
14,NY,560,1340,1010,2130
15,PA,611,1130,1010,2080
16,PA,528,1060,1010,2080
17,PA,540,1250,1010,2330
18,PA,427,1480,1010,2790
19,DE MD PA,381,1760,1260,2790
20,DC MD VA WV,396,2400,1200,3660
21,DC DE MD PA,376,1680,1010,3140
22,DC VA,376,1600,940,3660
23,DC VA,469,1450,940,2480
24,TN VA WV,604,1010,940,2200
25,VA WV,518,980,940,1600
26,VA WV,438,980,940,1520
27,NC VA,639,1220,1010,2140
28,NC VA,808,1210,1010,2680
29,GA NC SC,683,1170,890,2830
30,AL GA TN,749,1220,1000,2640
31,GA,567,1110,1000,2100
32,FL,646,1545,950,2660
33,FL,617,2210,1020,3850
34,FL,289,1930,1110,3280
35,AL,506,1050,920,2060
36,AL GA,543,990,920,1780
37,TN,662,1190,1000,2700
38,AL KY MS TN,788,1020,910,1950
39,GA MS,589,1000,910,1930
40,KY TN,511,1000,910,1980
41,KY OH WV,416,1000,910,2160
42,KY TN,439,970,910,1570
43,OH WV,639,1110,1000,2350
44,OH,569,1070,1000,1910
45,OH WV,688,1090,1000,2160
46,IN,688,1180,1010,2300
47,IN KY OH,737,1090,1010,1910
48,MI,731,1220,1010,2260
49,MI,824,1150,1010,2450
50,IA,798,970,930,1790
51,IA MN NE,367,1020,930,1540
52,IA MO,532,1000,930,1580
53,WI,513,1230,1010,1900
54,MI MN WI,773,1070,1010,1920
55,MN WI,544,1410,1010,2600
56,IA MN ND SD,864,1060,1010,1670
57,IA MN MT ND SD WY,667,1080,1010,1820
58,MN ND SD,669,1060,1010,1900
59,ID MT ND,564,1400,1010,2460
60,IL,545,1910,930,3030
61,IA IL,698,1030,930,1790
62,IL MO,867,980,930,2020
63,IL MO,569,1020,960,2020
64,MO,476,1050,960,2320
65,AR MO,646,990,960,1540
66,KS MO NE,517,1030,960,2320
67,KS,679,990,960,1560
68,IA KS NE SD,836,1080,1010,2180
69,CO KS NE SD,224,1020,1010,1430
70,LA,480,1105,890,2220
71,AR LA OK TX,600,940,890,1570
72,AR TN,772,970,910,1880
73,OK TX,527,990,920,1900
74,AR OK,567,950,920,1760
75,TX,676,1210,1010,2710
76,TX,695,1170,1010,2710
77,TX,592,1350,1010,2250
78,TX,686,1300,1010,2730
79,NM TX,589,1120,1010,1970
80,CO,474,1920,1010,3590
81,CO NM UT,296,1320,1010,2900
82,CO NE SD UT WY,207,1060,1000,1560
83,ID UT WA WY,433,1240,1000,2090
84,AZ NV UT,359,1330,1010,2850
85,AZ,416,1540,1020,2600
86,AZ NM UT,138,1480,1060,2330
87,AZ NM,309,1240,1010,2080
88,DC NM TX,191,1060,1010,2400
89,CA ID NV OR,265,1690,1010,2530
90,CA,257,2960,1870,4450
91,CA,279,2960,2040,4450
92,CA,488,2820,1230,4590
93,CA,459,1780,1320,4360
94,CA,296,3270,1620,5050
95,CA,677,1930,1150,5260
96,CA HI,271,1930,1080,3810
97,CA ID OR,542,1555,1010,2820
98,OR WA,586,1880,1010,3820
99,AK ID OR WA,485,1390,1010,2490
